n,bruto_bp,med_bp,neto_bp,wr,sd_bp,t,p,kum_bruto,kum_neto,reziim,horisont_h,valja_jaetud
405,9.552145914570813,4.079601511586158,7.052145914570813,72.34567901234567,16.704374661293812,11.50795718257112,0.0,0.4723531593094783,0.33057597119693694,SEINAKELL,1,0
405,9.969379271609183,5.232824030747246,7.469379271609183,67.90123456790124,18.322406411107128,10.949974757766345,0.0,0.4974443082509339,0.3532510200873009,SEINAKELL,2,0
405,9.399675220769113,6.503249824666122,6.899675220769113,66.66666666666666,21.45911289473946,8.815127436461415,0.0,0.4632892994016591,0.3223848968453895,SEINAKELL,4,0
405,8.940343662836648,6.86639826953498,6.440343662836648,62.22222222222222,25.299173463983472,7.111732160220561,1.1459722060180866e-12,0.43631947045569097,0.2980120715378889,SEINAKELL,8,0
405,9.136580022101496,7.424036499202417,6.636580022101496,61.23456790123457,26.51216188283539,6.935312439405828,4.0532022183015215e-12,0.4477802058400726,0.30836921922238614,SEINAKELL,12,0
356,7.195113905104132,4.590658101890875,4.695113905104132,58.70786516853933,27.990307445327115,4.850148141912073,1.233692987767654e-06,0.29194140869097374,0.18192687905847937,SEINAKELL,16,49
298,8.149127039171539,5.764476809581457,5.649127039171539,62.41610738255034,34.50170194909492,4.077356649114852,4.555059562783015e-05,0.2748697107825022,0.183343593999733,SEINAKELL,24,107
276,10.53648008557917,9.117145343410003,8.03648008557917,61.23188405797102,41.48470978123061,4.219510145862551,2.4483370542505156e-05,0.3375062201571357,0.24833024004320414,SEINAKELL,32,129
186,11.574776687192639,12.502353097015549,9.074776687192639,61.82795698924731,37.32483958661243,4.229325813863367,2.3439267899050265e-05,0.24022255875875143,0.18387250181051185,SEINAKELL,48,219
405,9.552145914570813,4.079601511586158,7.052145914570813,72.34567901234567,16.704374661293812,11.50795718257112,0.0,0.4723531593094783,0.33057597119693694,BAARE,1,0
405,9.969379271609183,5.232824030747246,7.469379271609183,67.90123456790124,18.322406411107128,10.949974757766345,0.0,0.4974443082509339,0.3532510200873009,BAARE,2,0
405,9.399675220769113,6.503249824666122,6.899675220769113,66.66666666666666,21.45911289473946,8.815127436461415,0.0,0.4632892994016591,0.3223848968453895,BAARE,4,0
405,8.940343662836648,6.86639826953498,6.440343662836648,62.22222222222222,25.299173463983472,7.111732160220561,1.1459722060180866e-12,0.43631947045569097,0.2980120715378889,BAARE,8,0
405,9.254501524599123,7.684142253348708,6.754501524599123,61.72839506172839,26.30465945685406,7.080238041758163,1.439071084519128e-12,0.45471108187259945,0.3146327009488423,BAARE,12,0
405,9.070560972777018,7.684010705386601,6.5705609727770184,61.97530864197531,28.88283575829151,6.32006911960753,2.614464200689781e-10,0.44391434291100973,0.3048756115313045,BAARE,16,0
405,9.288358309494365,7.558664421957461,6.788358309494365,63.20987654320987,35.23357349239718,5.305297949836827,1.1248910558592229e-07,0.45670714959110636,0.3164365614739715,BAARE,24,0
405,10.555454407974704,9.3138756441484,8.055454407974704,60.98765432098765,41.34346701412311,5.1380408477623805,2.7761754539668004e-07,0.5334128980648254,0.3857560892832326,BAARE,32,0
405,11.381622115485808,9.865081354294235,8.881622115485808,61.48148148148148,44.079218853474124,5.196342690676296,2.0324743643662657e-07,0.5855886012951104,0.4329076415854525,BAARE,48,0
