n,wr,neto,pf,sharpe,maxdd,t,p,kokku_r,grupp,periood,paare,bruto,kulu
661,40.998487140695914,0.09558331696508766,1.1607245704907605,0.8004721607670005,-25.024710815743113,1.7878262369931133,0.07380404648941408,63.18057251392295,ALL,2006-2010,15,0.14036077350803208,0.04477745654294443
575,38.43478260869565,-0.04139047198174484,0.9313089779823339,-0.35082658347249296,-31.58057848331467,-0.7811898771344258,0.4346908265949607,-23.799521389503283,ALL,2011-2015,15,0.0006504281818165658,0.04204090016356141
585,39.14529914529915,-0.031599519441979286,0.9468232846079893,-0.26938722050227126,-35.359066583035116,-0.6018319105632477,0.5472860315570656,-18.485718873557882,ALL,2016-2020,15,0.008423017624022651,0.04002253706600193
662,43.957703927492446,0.07874222034076839,1.144701748875606,0.6692480081303253,-21.238643615315457,1.5924552691776086,0.11128244613765137,52.12734986558868,ALL,2021-2026,15,0.12177722479147682,0.043035004450708444
997,40.62186559679037,0.06475178274721231,1.1101337558821878,0.5389316691712805,-41.326323290835745,1.523285247853463,0.12768735627942052,64.55752739897068,ALL,TRAIN_2006_2013,15,0.10846323124500977,0.04371144849779746
457,36.542669584245075,-0.11511118230026074,0.8174830241395149,-0.9943821776737575,-45.784646318573344,-1.9839943123346326,0.04725647399022703,-52.60581031121916,ALL,VALID_2014_2017,15,-0.07511915908816542,0.0399920232120953
1029,42.75996112730807,0.059349820241689936,1.1065735678093016,0.5055381815909709,-32.85825460975115,1.4860292125569385,0.13727139425423207,61.07096502869894,ALL,OOS_2018_2026,15,0.10193204059026387,0.042582220348573945
2483,40.75714861055175,0.02940905441661315,1.0504495922260495,0.24798257920301317,-49.806799253991095,1.1272318086701214,0.259644485064245,73.02268211645045,ALL,ALL_2006_2026,15,0.0719679644040937,0.04255890998748055
293,37.54266211604095,-0.05889761398844651,0.9037450151748643,-0.3561153578293585,-25.024710815743113,-0.7953710464002497,0.4263976970355414,-17.257000898614827,MAJORS,2006-2010,7,-0.03728718116177579,0.02161043282667076
276,36.594202898550726,-0.07523028676999821,0.8733873231369034,-0.4588301620794281,-29.537707518433585,-1.0216827766944307,0.3069310654105364,-20.763559148519505,MAJORS,2011-2015,7,-0.05245684127403938,0.02277344549595881
274,38.32116788321168,-0.10664338442082184,0.8190267748454527,-0.666169688766033,-28.395063815428202,-1.488274669458589,0.1366784723150436,-29.220287331305187,MAJORS,2016-2020,7,-0.0811313913266437,0.02551199309417813
285,43.859649122807014,0.07096411479546089,1.131028046029488,0.39942651292724274,-13.220570099418294,0.9501934117561583,0.3420139856291391,20.22477271670635,MAJORS,2021-2026,7,0.0959993754598351,0.025035260664374243
461,36.659436008676785,-0.07354920690144745,0.8787523295647577,-0.4481274020084882,-41.326323290835745,-1.2666278485510185,0.20528838989904807,-33.90618438156727,MAJORS,TRAIN_2006_2013,7,-0.051703392156062455,0.021845814745385002
205,38.53658536585366,-0.08307467410740442,0.856832942857772,-0.5024165398804081,-28.11794929930057,-0.9993157665188501,0.31764175009000795,-17.030308192017905,MAJORS,VALID_2014_2017,7,-0.06019294089567265,0.022881733211731734
462,41.77489177489178,0.008485753055956731,1.0150498588015966,0.050017627789020996,-18.403714856486175,0.14641991380382743,0.8835899077809473,3.9204179118520095,MAJORS,OOS_2018_2026,7,0.03441862592656957,0.02593287287061286
1128,39.09574468085106,-0.04168091725330955,0.9286655392660043,-0.2491865821630733,-49.7019902873042,-1.1327047351905026,0.2573382684988914,-47.01607466173317,MAJORS,ALL_2006_2026,7,-0.01797288252613702,0.023708034727172544
368,43.75,0.21858036253407012,1.376203182779986,1.301182188546821,-10.258961826382873,2.9037508301306683,0.0036872148097431,80.4375734125378,CROSSES,2006-2010,8,0.2818033026337215,0.06322294009965146
299,40.13377926421405,-0.010153719869510969,0.9833627076459107,-0.06014636317463576,-18.896275462229994,-0.1336325092590749,0.8936931760680562,-3.0359622409837796,CROSSES,2011-2015,8,0.04967252306414513,0.05982624293365611
311,39.87138263665595,0.034516297291791974,1.0576612314527967,0.20523586274410877,-19.386861013147183,0.4549779666712547,0.649125090229316,10.734568457747304,CROSSES,2016-2020,8,0.0873230435162496,0.05280674622445763
377,44.03183023872679,0.08462222055406451,1.154953072585202,0.5389552669742466,-16.502185814835315,1.2811867974155506,0.2001280623238031,31.902577148882322,CROSSES,2021-2026,8,0.14126445837109985,0.05664223781703536
536,44.02985074626866,0.1837009548144365,1.3212206408598337,1.0710235288603267,-9.370071238195132,3.017366102728285,0.0025498165898536485,98.46371178053796,CROSSES,TRAIN_2006_2013,8,0.24621848010302147,0.06251752528858504
252,34.92063492063492,-0.14117262745714784,0.7898299778612147,-0.8765756402113872,-31.855921705888036,-1.7489463543875605,0.08030029285310736,-35.57550211920125,CROSSES,VALID_2014_2017,8,-0.08726151912570915,0.05391110833143868
567,43.56261022927689,0.10079461572636142,1.1828553497335645,0.6241713047078821,-26.781748410420004,1.8335881387043236,0.06671515424676988,57.15054711684692,CROSSES,OOS_2018_2026,8,0.15694297105697771,0.0561483553306163
1355,42.140221402214024,0.08858948839718349,1.1522667697712137,0.532083456221154,-25.030110153058516,2.417841945471483,0.015612856820316434,120.03875677818363,CROSSES,ALL_2006_2026,8,0.1468412303356806,0.0582517419384971
195,45.64102564102564,0.25846978011128996,1.4764081858250346,1.1428062545242472,-9.130162861427449,2.5489126927153696,0.010805934895158131,50.401607121701545,JPY,2006-2010,4,0.30081445484678876,0.04234467473549879
161,37.88819875776397,-0.05102230707671614,0.918224884130643,-0.2253003809204541,-17.572461450696675,-0.5001532166539466,0.6169671970420425,-8.214591439351299,JPY,2011-2015,4,-0.01680335485050097,0.034218952226215196
155,38.70967741935484,-0.06945746279309845,0.8876906903380205,-0.30652045320082383,-19.49328300290243,-0.6795111277133044,0.4968140593498407,-10.765906732930258,JPY,2016-2020,4,-0.03390405817420548,0.03555340461889299
193,51.29533678756477,0.2867086034224619,1.6056855178426526,1.2845616859584896,-8.741055348786908,3.037300215366485,0.0023870758237201084,55.33476046053514,JPY,2021-2026,4,0.3249266051375425,0.03821800171508066
285,44.91228070175438,0.2021640168296433,1.371003949754391,0.8777099334736751,-9.130162861427449,2.4723223319909358,0.013423842011167864,57.616744796448344,JPY,TRAIN_2006_2013,4,0.2403722837457691,0.038208266916125805
132,33.33333333333333,-0.20114914461139088,0.7068543766675344,-0.9314596764018883,-28.68185486523921,-1.8565329118175415,0.06337763639303406,-26.5516870887036,JPY,VALID_2014_2017,4,-0.16468762761572728,0.036461516995663606
287,47.73519163763066,0.1940446400773881,1.3773290873485728,0.8517741695418015,-12.438967859653205,2.4994225188752814,0.012439589796366946,55.69081170221038,JPY,OOS_2018_2026,4,0.23220156904692962,0.038156928969541606
704,43.89204545454545,0.12323276904823172,1.2204909675747913,0.5385712836025189,-21.204804305813617,2.4461873125115514,0.014437597072385566,86.75586940995512,JPY,ALL_2006_2026,4,0.16109259139025145,0.037859822342019726
228,42.54385964912281,0.16675624265729075,1.2852154016920596,0.7976935667421892,-9.34961678035563,1.780152984728761,0.075050927305512,38.02042332586229,EUR,2006-2010,5,0.22738109955180774,0.060624856894517055
180,36.666666666666664,-0.12210432603775767,0.8089395319355531,-0.5919363639391797,-23.64247249900139,-1.3136978520294789,0.18894790409839346,-21.97877868679638,EUR,2011-2015,5,-0.0588924779522276,0.0632118480855301
192,35.9375,-0.12321697019493745,0.8021544623396175,-0.6248614382183107,-29.27226353139305,-1.3871545933969902,0.1653946278553371,-23.65765827742799,EUR,2016-2020,5,-0.07274485353057909,0.050472116664358364
236,44.91525423728814,0.07564816258078254,1.1390554032853506,0.3864978773370624,-18.206090694638156,0.9158721033120206,0.3597339800106949,17.852966369064678,EUR,2021-2026,5,0.1312513452547873,0.05560318267400469
333,40.54054054054054,0.07996325736580266,1.134035063803924,0.3784318122667681,-15.510179151956315,1.06614587986021,0.2863577024958599,26.627764702812286,EUR,TRAIN_2006_2013,5,0.14209231880871087,0.06212906144290819
148,34.45945945945946,-0.18026104369460816,0.7291499123754474,-0.8965622507700123,-29.412538076664518,-1.7832788567696554,0.07454092140368429,-26.67863446680201,EUR,VALID_2014_2017,5,-0.12607424084967225,0.05418680284493593
355,42.816901408450704,0.02897978167518961,1.0516608688234759,0.14786163598832083,-26.781748410420004,0.4333288997093358,0.6647758457578583,10.28782249469231,EUR,OOS_2018_2026,5,0.08335998803132559,0.05438020635613602
836,40.430622009569376,0.012245158768782998,1.0206263837872613,0.059878889218580235,-28.885698924942073,0.2721319056791104,0.7855205977719519,10.236952730702587,EUR,ALL_2006_2026,5,0.06967769170893517,0.05743253294015219
281,39.14590747330961,0.04546064327734378,1.073572633925635,0.24853374917470045,-22.277735253367414,0.5550913315049454,0.5788321916842594,12.774440760933603,COMMODITY,2006-2010,7,0.08768163107425014,0.04222098779690636
267,41.57303370786517,0.05864104826507039,1.1045077198536468,0.33138569993777006,-15.785828758568421,0.7374930548258493,0.46082256519104225,15.657159886773794,COMMODITY,2011-2015,7,0.09398616954195756,0.035345121276887166
272,40.07352941176471,0.040942771703850724,1.0703593751852487,0.23349223532487406,-19.65348651074703,0.5124013323238066,0.6083701587285555,11.136433903447397,COMMODITY,2016-2020,7,0.08217543837638415,0.041232666672533426
306,40.849673202614376,0.010561333817758001,1.0186942630464901,0.062083842587595924,-14.053865244651808,0.1477266141375767,0.8825585270338552,3.2317681482339484,COMMODITY,2021-2026,7,0.052681349792692116,0.04212001597493412
436,40.137614678899084,0.05150475351193857,1.0867299883954586,0.2833529394864026,-24.121657258762696,0.8002079327025098,0.4235903344922711,22.456072531205216,COMMODITY,TRAIN_2006_2013,7,0.09128960730029631,0.03978485378835776
212,39.62264150943396,-0.02179201044437805,0.9632943052974487,-0.12502963399700498,-16.1827146941241,-0.2494595018825076,0.8030053636336567,-4.619906214208147,COMMODITY,VALID_2014_2017,7,0.014424061081766103,0.036216071526144145
478,41.00418410041841,0.05222518071630055,1.0925196273532793,0.3005495169515306,-16.44578915142102,0.8834651432346492,0.3769850075197052,24.963636382391662,COMMODITY,OOS_2018_2026,7,0.09486378272435902,0.042638602008058475
1126,40.40852575488454,0.03801048197103795,1.0653828667612253,0.21451987886453244,-34.300731498884,0.9751234615968701,0.32949902207101944,42.799802699388735,COMMODITY,ALL_2006_2026,7,0.07833486489743094,0.04032438292639298
