n,wr,neto,pf,sharpe,maxdd,t,p,kokku_r,paar,periood,bruto,kulu,piisav
44,34.090909090909086,-0.07142159082437113,0.8853126447513892,-0.16655917668592382,-5.620072557993538,-0.3661388456546155,0.7142614723783238,-3.14254999627233,EURUSD,2006-2010,-0.05077525313437632,0.020646337689994843,True
34,32.35294117647059,-0.21213293562030688,0.6697651786101246,-0.49333593510753315,-9.007425327524498,-1.0807832287534267,0.27979355044012166,-7.212519811090434,EURUSD,2011-2015,-0.1941237974869486,0.01800913813335831,True
41,26.82926829268293,-0.39076566401084356,0.426367355006313,-1.1103733389240698,-17.46730694711808,-2.4553569689651704,0.014074474935140469,-16.021392224444586,EURUSD,2016-2020,-0.3671118443461701,0.023653819664673413,True
42,47.61904761904761,0.1616623167549832,1.3154631775192762,0.3471099170530566,-4.434598445399263,0.8152849675031261,0.414909211444356,6.7898173037092935,EURUSD,2021-2026,0.1855771695880939,0.023914852833110758,True
64,28.125,-0.21053534389865888,0.6876561569262064,-0.4939126728895042,-13.624922984605337,-1.3743418132545426,0.16933559108794816,-13.474262009514169,EURUSD,TRAIN_2006_2013,-0.1909400614524095,0.019595282446249397,True
27,40.74074074074074,-0.04480020219561877,0.9156994001465707,-0.1021092344289073,-6.267592559436286,-0.20253416406531077,0.8394991527255775,-1.2096054592817067,EURUSD,VALID_2014_2017,-0.025280917249432846,0.01951928494618591,False
70,40.0,-0.07003967513288832,0.8810199526027346,-0.16578705725468157,-13.85051284280756,-0.4834552004353941,0.6287725618511473,-4.902777259302183,EURUSD,OOS_2018_2026,-0.04555594356104209,0.02448373157184623,True
161,35.40372670807454,-0.12165617843539167,0.8015429545304651,-0.28318271594206323,-27.357166917038555,-1.2841640606848472,0.19908455729146457,-19.586644728098058,EURUSD,ALL_2006_2026,-0.0999482282482102,0.021707950187181475,True
42,35.714285714285715,-0.13454227583149692,0.7876859629602158,-0.3221776367026431,-9.527716854545009,-0.7122285677399617,0.47632324939202375,-5.6507755849228705,GBPUSD,2006-2010,-0.10888065689310626,0.025661618938390654,True
42,23.809523809523807,-0.30983787685201913,0.5649516890167159,-0.7692069356675952,-13.277690349541881,-1.710909963545196,0.08709773503811746,-13.013190827784804,GBPUSD,2011-2015,-0.28491231757457014,0.024925559277448942,True
38,36.84210526315789,-0.08910872663026334,0.8495946008511344,-0.2095366170715173,-4.610759458144287,-0.4473752299743742,0.6546041572893297,-3.386131611950007,GBPUSD,2016-2020,-0.06855054659741198,0.020558180032851398,True
39,41.02564102564102,-0.01727041293704773,0.971401142667929,-0.035997581003880494,-8.593569109007026,-0.08349481037252468,0.9334581037081398,-0.6735461045448614,GBPUSD,2021-2026,0.007103287583826832,0.024373700520874595,True
68,30.88235294117647,-0.19913116284251325,0.7007216004517163,-0.48458066679405215,-13.794377235390431,-1.356219235613247,0.17502942351983863,-13.540919073290901,GBPUSD,TRAIN_2006_2013,-0.17418764082876753,0.02494352201374567,True
30,30.0,-0.26424827991104194,0.5857335623518103,-0.6772966217031786,-8.869515991234378,-1.3045281189110682,0.19205357860986783,-7.927448397331258,GBPUSD,VALID_2014_2017,-0.24147660791098857,0.022771672000053374,True
63,39.682539682539684,-0.019925026326672788,0.9671486139981983,-0.042169220600715145,-10.754618112024906,-0.12241503740585619,0.9025703299489636,-1.2552766585803856,GBPUSD,OOS_2018_2026,0.003521592557317944,0.02344661888399077,True
161,34.161490683229815,-0.14114064676523322,0.7785049422330845,-0.32299194724054103,-26.982988293394005,-1.4652740474185202,0.14284616421557916,-22.723644129202548,GBPUSD,ALL_2006_2026,-0.1171875620035703,0.02395308476166289,True
44,36.36363636363637,-0.04408297729522867,0.9261339085217691,-0.10395503468777957,-9.130162861427449,-0.22890732800596147,0.818940944855707,-1.9396510009900614,USDJPY,2006-2010,-0.027069075992873684,0.01701390130235503,True
45,31.11111111111111,-0.26265006549859776,0.6009531589104659,-0.7107554842084252,-14.128378992156476,-1.5672799863155138,0.1170492613115921,-11.8192529474369,USDJPY,2011-2015,-0.2411208044083882,0.021529261090209625,True
40,42.5,-0.1226154858005051,0.7917889706658978,-0.29832545584962483,-7.869385597875622,-0.6611597700681738,0.5085098578105147,-4.904619432020204,USDJPY,2016-2020,-0.09841614533052986,0.024199340469975236,True
40,55.00000000000001,0.334041281391518,1.7921288023857262,0.7310666179162781,-4.6258968746905165,1.6470876321977435,0.09954003487376495,13.36165125566072,USDJPY,2021-2026,0.3545491057258016,0.020507824334283643,True
70,35.714285714285715,-0.10237655840650763,0.8274469084794063,-0.2570705092042975,-9.130162861427449,-0.7112556495297245,0.476925829269065,-7.1663590884555335,USDJPY,TRAIN_2006_2013,-0.0845828691120722,0.01779368929443548,True
33,27.27272727272727,-0.4150321573189625,0.44156234512060183,-1.1159810047917964,-12.637619651116793,-2.2120128255223097,0.02696577875873607,-13.696061191525763,USDJPY,VALID_2014_2017,-0.3929144393069691,0.02211771801199339,True
66,53.03030303030303,0.23576588113931596,1.5144875035581487,0.5306849745636293,-7.869385597875622,1.5104771568886632,0.1309217138667942,15.560548155194853,USDJPY,OOS_2018_2026,0.25895182134427264,0.023185940204956724,True
169,40.828402366863905,-0.03137202440702038,0.9449452203017058,-0.07406770104579195,-21.204804305813617,-0.3332074720962176,0.7389776781958284,-5.301872124786445,USDJPY,ALL_2006_2026,-0.010628148676053497,0.020743875730966924,True
34,50.0,0.24440347539383142,1.4809294319745503,0.5111455793444513,-8.755440287769979,1.0536475345966807,0.29204431763364513,8.309718163390269,AUDUSD,2006-2010,0.26295875166295296,0.01855527626912156,True
40,45.0,0.22233102971304697,1.4675392364505855,0.47944301714799753,-4.415210431200212,1.0589994517511836,0.2896000294042649,8.893241188521879,AUDUSD,2011-2015,0.24140096331755861,0.01906993360451163,True
36,47.22222222222222,0.19031246111801656,1.400905159276506,0.41102429829006254,-3.027931800608452,0.8960809500846818,0.37020953053258276,6.851248600248596,AUDUSD,2016-2020,0.2118073138509558,0.021494852732939274,True
39,38.46153846153847,-0.029034360146848737,0.9470141468651936,-0.06396679660936755,-7.473020290247378,-0.1499454100473617,0.8808076846518123,-1.1323400457271007,AUDUSD,2021-2026,-0.010093166787730623,0.01894119335911818,True
57,49.122807017543856,0.24375422583168085,1.5066431696877964,0.5202610145503314,-8.755440287769979,1.3942007643902194,0.16325698719870507,13.893990872405809,AUDUSD,TRAIN_2006_2013,0.262498231993057,0.018744006161376125,True
29,44.827586206896555,0.205254534762283,1.4211239811570258,0.432049950052785,-3.8390041637454075,0.8327770933044958,0.40497045594873216,5.952381508106207,AUDUSD,VALID_2014_2017,0.2243861512833604,0.019131616521077456,False
63,41.269841269841265,0.048817389300343274,1.0926304880354436,0.1073581246298477,-7.473020290247378,0.31266589433494707,0.7545345096572385,3.0754955259216263,AUDUSD,OOS_2018_2026,0.06918203606879304,0.02036464676844977,True
149,44.966442953020135,0.15383803964049422,1.3066064701542501,0.3282705817908144,-8.755440287769979,1.4644487813961848,0.14307136783852892,22.92186790643364,AUDUSD,ALL_2006_2026,0.1733427240480246,0.019504684407530337,True
36,33.33333333333333,-0.20097377918778841,0.7026360446957234,-0.44150142761016137,-8.201026962990298,-0.9841817660786483,0.3250261494489126,-7.235056050760383,NZDUSD,2006-2010,-0.17719104827287271,0.023782730914915687,True
41,36.58536585365854,-0.0279183684606385,0.9523397041885978,-0.06442650292569538,-8.375217089333663,-0.14074019217666509,0.8880751923266312,-1.1446531068861785,NZDUSD,2011-2015,-0.0029197480613479612,0.02499862039929052,True
38,34.21052631578947,-0.11044026630889318,0.8272510760317769,-0.2412855180675854,-8.728041365808703,-0.5279965062465334,0.5975017608547677,-4.196730119737941,NZDUSD,2016-2020,-0.08203952369855727,0.02840074261033593,True
41,41.46341463414634,-0.02264484689817917,0.9594320887889567,-0.05214653983712279,-8.101895630320776,-0.1210131494612431,0.9036806199755925,-0.928438722825346,NZDUSD,2021-2026,0.003707685142976621,0.026352532041155848,True
63,34.92063492063492,-0.09307592243774616,0.8530978047848482,-0.20540343943011388,-8.201026962990298,-0.5779785797402947,0.563278581022929,-5.863783113578008,NZDUSD,TRAIN_2006_2013,-0.06884624580125685,0.02422967663648928,True
26,38.46153846153847,-0.09625538832109798,0.8284685445180558,-0.21659803767029823,-5.350726476320222,-0.42767552782147317,0.668887369277642,-2.5026400963485473,NZDUSD,VALID_2014_2017,-0.07077012287159726,0.02548526544950069,False
67,37.3134328358209,-0.07669335507885515,0.8747365678286813,-0.17261395306478658,-16.2644452331407,-0.5035252935145712,0.6145950017556889,-5.138454790283295,NZDUSD,OOS_2018_2026,-0.049055784147479166,0.027637570931375952,True
156,36.53846153846153,-0.08656973077057598,0.8586282325442813,-0.19252902948767467,-19.71911475861601,-0.874755702364651,0.38170684469731864,-13.504878000209853,NZDUSD,ALL_2006_2026,-0.06066714242321679,0.02590258834735917,True
43,32.55813953488372,-0.2761516228170828,0.5819840349239139,-0.7145401878442124,-12.092977436299524,-1.5849135781092025,0.11298597107411168,-11.874519781134559,USDCAD,2006-2010,-0.2537585394341267,0.022393083382956147,True
40,42.5,-0.0007440112153536349,0.9985953567744416,-0.0017967027866166085,-12.490243120383049,-0.0039192775075475176,0.9968728769930466,-0.029760448614145396,USDCAD,2011-2015,0.02798819372534438,0.028732204940698003,True
39,41.02564102564102,-0.057827282566284166,0.8931100689393635,-0.14241352530219772,-4.943043699228689,-0.31065690477306307,0.7560614622376634,-2.2552640200850824,USDCAD,2016-2020,-0.027554995957135935,0.030272286609148217,True
43,44.18604651162791,0.10578248334828726,1.1912467058289045,0.22212287052144258,-7.552142701806619,0.5201620211079819,0.6029506535652867,4.548646783976352,USDCAD,2021-2026,0.1403675831600732,0.03458509981178593,True
67,32.83582089552239,-0.2816380734391921,0.562941092881917,-0.748846282682712,-18.803596686550584,-2.114792727626699,0.03444761697551657,-18.869750920425872,USDCAD,TRAIN_2006_2013,-0.2568319931888489,0.024806080250343105,True
32,50.0,0.15969080849826145,1.3382954232733337,0.36911579116487103,-6.98653989421838,0.7218811739447595,0.47036753673553666,5.110105871944366,USDCAD,VALID_2014_2017,0.18635277184992732,0.02666196335166585,True
66,42.42424242424242,0.0628598118579404,1.1146147378104572,0.13638579252617242,-7.6186146047481085,0.39688435485054424,0.6914527417654044,4.1487475826240665,USDCAD,OOS_2018_2026,0.09717464592964212,0.034314834071701744,True
165,40.0,-0.058247863429438995,0.8982728083111022,-0.13628088592392118,-19.750009282678693,-0.6179592029272979,0.5366022317117778,-9.610897465857434,USDCAD,ALL_2006_2026,-0.029278352806659563,0.028969510622779453,True
50,42.0,0.08551666704150218,1.147477796039432,0.20041992024227198,-6.402024760023927,0.44467285249885624,0.6565561907175714,4.275833352075109,USDCHF,2006-2010,0.10845782735319254,0.022941160311690356,True
34,47.05882352941176,0.10478167072856123,1.1936614500118699,0.2126423721490498,-7.859945292703541,0.46398558385666155,0.6426580741889281,3.5625768047710817,USDCHF,2011-2015,0.12597111318323365,0.021189442454672438,True
42,40.476190476190474,-0.1263666315075229,0.7875397028651934,-0.314428481022866,-12.910679201357244,-0.6958761237573129,0.4865064110760111,-5.307398523315961,USDCHF,2016-2020,-0.09689918040822587,0.02946745109929704,True
41,39.02439024390244,-0.042463847647383125,0.9285614387842502,-0.09084528856104943,-7.9869499042450105,-0.21537821391568612,0.8294724542108525,-1.741017753542708,USDCHF,2021-2026,-0.01677071276760849,0.02569313487977461,True
72,45.83333333333333,0.15437359654571386,1.2834420584090938,0.34238297606287066,-6.402024760023927,0.9677422322475926,0.33317312071154337,11.114898951291398,USDCHF,TRAIN_2006_2013,0.1768488662324789,0.022475269686765033,True
28,39.285714285714285,-0.09846572955647155,0.8388981823325096,-0.21233041473497258,-6.059940845911493,-0.41762662322730604,0.6762201283886782,-2.7570404275812033,USDCHF,VALID_2014_2017,-0.0741770455418633,0.024288684014608267,False
67,38.80597014925373,-0.11295320363765184,0.8127359820288396,-0.2653870995306084,-13.249699522920544,-0.7710303225879757,0.44068895861614577,-7.567864643722673,USDCHF,OOS_2018_2026,-0.08518830863125629,0.027764895006395545,True
167,41.91616766467065,0.004730502275374388,1.0081661161015527,0.010557747862568571,-17.30463052561152,0.047946858524911,0.9617585946074305,0.7899938799875228,USDCHF,ALL_2006_2026,0.02963200248665949,0.024901500211285125,True
43,46.51162790697674,0.2751247780550399,1.4840372569611269,0.5544079323333687,-5.137086791782264,1.2276713363168155,0.2195703707313521,11.830365456366714,EURGBP,2006-2010,0.33572376760547556,0.06059898955043569,True
33,36.36363636363637,-0.20090227409270495,0.6971654148453446,-0.42749224464247704,-13.537228628251196,-0.9317145285248345,0.35148407612194177,-6.629775045059263,EURGBP,2011-2015,-0.1598555617367913,0.041046712355913714,True
39,43.58974358974359,0.12592483893628012,1.2306135191647416,0.27187206001377395,-4.42761367746356,0.5837683015175825,0.559376207424237,4.911068718514925,EURGBP,2016-2020,0.1727898015405327,0.04686496260425255,True
49,24.489795918367346,-0.3554904423337269,0.5021149578535217,-0.9491001665205488,-16.225848349511896,-2.2041951901776824,0.027510619897796795,-17.419031674352617,EURGBP,2021-2026,-0.2793091975296637,0.07618124480406314,True
62,46.774193548387096,0.17409774992234892,1.3098487185878493,0.3502618904061831,-7.446816793517764,0.9820065198847773,0.32609663619131735,10.794060495185633,EURGBP,TRAIN_2006_2013,0.22840142693098942,0.05430367700864051,True
29,31.03448275862069,-0.10046220279715298,0.8583401922040229,-0.1953887303903217,-7.253882563462167,-0.3840324345493758,0.7009544079911079,-2.9134038811174365,EURGBP,VALID_2014_2017,-0.058582011950384455,0.0418801908467685,False
73,31.506849315068493,-0.20805519395340324,0.6783041538868119,-0.5116130450759772,-20.365790338757208,-1.4967214547564718,0.1344657512820835,-15.188029158598438,EURGBP,OOS_2018_2026,-0.14039000099056992,0.06766519296283333,True
164,37.19512195121951,-0.04455714966176977,0.9287885522826315,-0.09581494368721319,-22.581790636041188,-0.4345839988116677,0.6638644116437256,-7.307372544530242,EURGBP,ALL_2006_2026,0.013497195432003638,0.058054345093773344,True
