rada,paar,strateegia,variant,n,oodatav,pf,sharpe,maxdd,neto_r,t
B_D1,EURCHF,BREAKOUT_RETEST,baseline,37,0.2979081042424261,1.5853201736656009,0.4447883668125749,-5.3371848679511285,11.022599856969766,1.2930836559393568
B_D1,EURCHF,BREAKOUT_RETEST,spread+25%,37,0.27902464943281613,1.538498264976595,0.4166125368582713,-5.430445782415894,10.323912029014197,1.211171205153995
B_D1,EURCHF,BREAKOUT_RETEST,spread+50%,37,0.26014119462320606,1.4933078018150052,0.3884287902431205,-5.523633261191918,9.625224201058623,1.1292357391427077
B_D1,EURCHF,BREAKOUT_RETEST,slip 2x,37,0.2853191343693528,1.5539199852317038,0.4260054187847072,-5.399366972588893,10.556807971666053,1.2384780841272045
B_D1,EURCHF,BREAKOUT_RETEST,spread+50% & slip 2x,37,0.24755222475013267,1.464045560674889,0.3696358177773471,-5.585717470836138,9.15943231575491,1.0746010243992579
B_D1,EURCHF,BREAKOUT_RETEST,SL 1.25xATR,39,0.5302246703153246,2.1044770101556383,0.7719503136796876,-5.4242306732634855,20.67876214229766,2.244205128316866
B_D1,EURCHF,BREAKOUT_RETEST,SL 1.75xATR,37,0.1209758270705192,1.217389619243095,0.18747929660866888,-5.274970105964383,4.47610560160921,0.5450376681587772
B_D1,EURCHF,BREAKOUT_RETEST,MC maxDD 5% kvantiil,37,0.2979081042424261,,,-7.803078460928224,11.022599856969766,
B_D1,GBPJPY,MOMENTUM,baseline,71,0.28539144297673913,1.5783853993086001,0.604233533868974,-7.943957196534113,20.262792451348478,1.773046137363042
B_D1,GBPJPY,MOMENTUM,spread+25%,71,0.2761192581350352,1.5542069248821282,0.5845422833278113,-8.133364675435285,19.6044673275875,1.7152646774558078
B_D1,GBPJPY,MOMENTUM,spread+50%,71,0.26684707329333124,1.530489534721428,0.5648529813415839,-8.35014680951579,18.94614220382652,1.657488935334178
B_D1,GBPJPY,MOMENTUM,slip 2x,71,0.2792099864156031,1.5622145250600856,0.5911058278480403,-8.06099463168566,19.823909035507818,1.7345245606080826
B_D1,GBPJPY,MOMENTUM,spread+50% & slip 2x,71,0.2606656167321953,1.514927627094617,0.5517279709564047,-8.494395297235545,18.507258787985865,1.6189752685780754
B_D1,GBPJPY,MOMENTUM,SL 1.25xATR,81,0.16757766331976015,1.289035329846265,0.36435955791212216,-12.2554617206318,13.573790728900573,1.0691665896641251
B_D1,GBPJPY,MOMENTUM,SL 1.75xATR,67,0.356614208979089,1.8300401171802672,0.766163698117244,-4.125635066545352,23.893152001598963,2.248209523950614
B_D1,GBPJPY,MOMENTUM,MC maxDD 5% kvantiil,71,0.28539144297673913,,,-10.155801986267832,20.262792451348478,
B_D1,EURCHF,MOMENTUM,baseline,65,0.24081014740256315,1.5205287136587469,0.5257691753317331,-7.922152783625114,15.652659581166604,1.5108302686765773
B_D1,EURCHF,MOMENTUM,spread+25%,65,0.2228557543493275,1.4734844153464517,0.48678774988051954,-8.246073245718499,14.485624032706287,1.39881472982211
B_D1,EURCHF,MOMENTUM,spread+50%,65,0.2049013612960919,1.4280214482703717,0.44776336619565205,-8.56892099611618,13.318588484245973,1.2866757478242667
B_D1,EURCHF,MOMENTUM,slip 2x,65,0.22884055203373938,1.488986117033011,0.49978642931407335,-8.13821911341458,14.87463588219306,1.436167239749391
B_D1,EURCHF,MOMENTUM,spread+50% & slip 2x,65,0.1929317659272681,1.3985523835987894,0.42172422579433433,-8.783558525099078,12.540564785272426,1.2118506661450146
B_D1,EURCHF,MOMENTUM,SL 1.25xATR,66,0.23599934992791208,1.4609574702975474,0.49370284380843615,-6.830143787102772,15.575957095242197,1.4186856802452619
B_D1,EURCHF,MOMENTUM,SL 1.75xATR,61,0.21852836757429797,1.494125573967089,0.4840206885919246,-6.688181550436023,13.330230422032177,1.3908634079374549
B_D1,EURCHF,MOMENTUM,MC maxDD 5% kvantiil,65,0.24081014740256315,,,-9.577506628107058,15.652659581166604,
B_D1,USDJPY,MOMENTUM,baseline,66,0.23576588113931596,1.5144875035581487,0.5306849745636293,-7.869385597875622,15.560548155194853,1.5104771568886632
B_D1,USDJPY,MOMENTUM,spread+25%,66,0.23130704648451658,1.5023377967168665,0.5205573130663629,-7.931072311142772,15.266265067978095,1.4816510131733627
B_D1,USDJPY,MOMENTUM,spread+50%,66,0.22684821182971723,1.4903040181176608,0.5104326408692011,-7.992721542360403,14.971981980761337,1.4528333778382494
B_D1,USDJPY,MOMENTUM,slip 2x,66,0.23041527955355665,1.4999218200361197,0.5185321384548469,-7.943405155295347,15.20740845053474,1.4758868025097367
B_D1,USDJPY,MOMENTUM,spread+50% & slip 2x,66,0.22149761024395798,1.4760141861949503,0.49828702529874164,-8.066651172325312,14.618842276101226,1.418263575121269
B_D1,USDJPY,MOMENTUM,SL 1.25xATR,66,0.321241634085579,1.706183106470379,0.6926138652292867,-7.713644180380596,21.201947849648214,1.9713718535812128
B_D1,USDJPY,MOMENTUM,SL 1.75xATR,64,0.215599334404505,1.505077169020392,0.5068062936701135,-7.980637074228225,13.79835740188832,1.4425117842945974
B_D1,USDJPY,MOMENTUM,MC maxDD 5% kvantiil,66,0.23576588113931596,,,-9.726013557579273,15.560548155194853,
B_D1,EURJPY,MOMENTUM,baseline,76,0.1782273181421186,1.3317558748492517,0.39936360349603955,-7.759170515096603,13.545276178801013,1.1687099520552944
B_D1,EURJPY,MOMENTUM,spread+25%,76,0.1689169402085437,1.3115180008738991,0.37840552900016916,-7.9633500212689,12.837687455849322,1.107377597216697
B_D1,EURJPY,MOMENTUM,spread+50%,76,0.15960656227496883,1.2916509592065886,0.3574561036794455,-8.167098274931806,12.13009873289763,1.0460705535906953
B_D1,EURJPY,MOMENTUM,slip 2x,76,0.17077901579525867,1.3155355792980015,0.38259646282651155,-7.922548648018668,12.97920520043966,1.1196420750719007
B_D1,EURJPY,MOMENTUM,spread+50% & slip 2x,76,0.1521582599281089,1.2760175255992272,0.3407030185911851,-8.329786958951413,11.564027754536276,0.9970438092933193
