rada,paar,aeg,lopuaeg,strateegia,suund,sisse,valja,sl,tp,pohjus,baare,bruto_r,kulu_r,neto_r,HIGH_VOLATILITY,LOW_VOLATILITY,TRENDING,RANGING,jaotus
A_H1,EURUSD,2023-11-28 10:00:00,2023-11-28 14:00:00,TREND_PULLBACK,1,1.09577,1.0983400992033956,1.094484950398302,1.0983400992033956,TP,5,2.0000000000000155,0.22170366001715786,1.7782963399828577,False,False,True,False,TRAIN
A_H1,EURUSD,2023-11-29 09:00:00,2023-11-29 10:00:00,TREND_PULLBACK,1,1.099264,1.0975364919411108,1.0975364919411108,1.1027190161177787,SL,2,-0.9999999999999605,0.1654456189245005,-1.165445618924461,False,False,True,False,TRAIN
A_H1,EURUSD,2023-11-29 19:00:00,2023-11-30 07:00:00,TREND_PULLBACK,1,1.09878,1.0967168462385055,1.0967168462385055,1.1029063075229892,SL,13,-1.000000000000024,0.13846898148447007,-1.1384689814844942,False,False,True,False,TRAIN
A_H1,EURUSD,2023-12-01 06:00:00,2023-12-01 08:00:00,TREND_PULLBACK,1,1.091227,1.0894306656263766,1.0894306656263766,1.0948196687472467,SL,3,-0.9999999999999816,0.1579433228946727,-1.1579433228946543,False,False,True,False,TRAIN
A_H1,EURUSD,2023-12-01 20:00:00,2023-12-04 15:00:00,TREND_PULLBACK,-1,1.087548,1.0822513718724076,1.090196314063796,1.0822513718724076,TP,19,2.0000000000000404,0.10677075044290073,1.8932292495571397,True,False,True,False,TRAIN
A_H1,EURUSD,2023-12-05 07:00:00,2023-12-05 16:00:00,TREND_PULLBACK,-1,1.083424,1.080109248454569,1.0850813757727156,1.080109248454569,TP,10,1.9999999999999638,0.16996160112710043,1.8300383988728635,True,False,True,False,TRAIN
A_H1,EURUSD,2023-12-06 15:00:00,2023-12-07 05:00:00,TREND_PULLBACK,-1,1.07968,1.0760526336766392,1.0814936831616804,1.0760526336766392,TP,15,1.9999999999999694,0.1547771991993948,1.8452228008005744,True,False,True,False,TRAIN
A_H1,EURUSD,2023-12-07 11:00:00,2023-12-07 13:00:00,TREND_PULLBACK,-1,1.07747,1.079053816238593,1.079053816238593,1.074302367522814,SL,3,-1.0000000000000355,0.17687796928314642,-1.176877969283182,False,True,True,False,TRAIN
A_H1,EURUSD,2023-12-07 15:00:00,2023-12-07 15:00:00,TREND_PULLBACK,-1,1.077238,1.0791547328480438,1.0791547328480438,1.073404534303912,SL,1,-0.9999999999999509,0.14612463092382974,-1.1461246309237807,False,True,True,False,TRAIN
A_H1,EURUSD,2023-12-08 02:00:00,2023-12-08 13:00:00,TREND_PULLBACK,-1,1.079098,1.0755524674142187,1.0808707662928905,1.0755524674142187,TP,12,1.9999999999999474,0.15826422305363047,1.841735776946317,False,True,True,False,TRAIN
A_H1,EURUSD,2023-12-11 03:00:00,2023-12-12 08:00:00,TREND_PULLBACK,-1,1.07689,1.078642402566868,1.078642402566868,1.0733851948662638,SL,30,-1.000000000000004,0.15977573035653134,-1.1597757303565353,False,True,True,False,TRAIN
A_H1,EURUSD,2023-12-12 14:00:00,2023-12-12 14:00:00,TREND_PULLBACK,-1,1.077819,1.0797234988169402,1.0797234988169402,1.07401000236612,SL,1,-1.0000000000000564,0.1471426170010738,-1.1471426170011303,False,True,True,False,TRAIN
A_H1,EURUSD,2023-12-13 04:00:00,2023-12-13 14:00:00,TREND_PULLBACK,-1,1.078981,1.0805458872044125,1.0805458872044125,1.0758512255911752,SL,11,-1.000000000000037,0.17926854996896113,-1.1792685499689983,False,True,True,False,TRAIN
