n,bruto_bp,med_bp,wr,v_bp,k_bp,pf,sd_bp,t,p,kulu_bp,lib_bp,neto_bp,rada,viivitus_min,staatus
15.0,1.2207054995223077,1.157617324064801,66.66666666666666,3.684836140367687,-3.70755578216845,1.987744140271586,4.946142241197041,0.9558504061802943,0.3391478178290226,2.186666666666667,0.0,-0.9659611671443592,A_M5,0,
39.0,1.3967371328612972,2.3152527746060985,53.84615384615385,8.051938070027823,-6.367663960499652,1.4752549453989532,9.163953400868584,0.951840348531319,0.34117795568987885,2.22051282051282,0.0,-0.8237756876515231,B_M15,0,
,,,,,,,,,,,,,,1,DATA INSUFFICIENT
15.0,0.8399240570507114,0.3710726215209959,53.333333333333336,3.6284903560312474,-2.347008856069901,1.766864283640804,4.205771827567709,0.7734637109207282,0.4392479972848038,2.186666666666667,0.0,-1.3467426096159554,A_M5,5,
15.0,-0.6428828998040299,1.1603443245477318,60.0,2.6322460282107465,-5.555576291826195,0.7107037748946538,4.9104250705200485,-0.5070589060508449,0.6121134875618308,2.186666666666667,0.0,-2.829549566470697,A_M5,15,
39.0,4.044404595498871,3.4748673885876404,69.23076923076923,7.546495705682285,-3.8353004024138144,4.4271930634426235,7.073841798875611,3.5705207045510106,0.00035627229031143237,2.22051282051282,0.0,1.8238917749860504,B_M15,15,
15.0,0.15505379604139255,0.0,46.666666666666664,5.084764957418827,-4.158443470163862,1.0699121846103046,6.538381679784384,0.09184547480476213,0.9268208130580553,2.186666666666667,0.0,-2.0316128706252745,A_M5,30,
39.0,3.6878927390306218,2.3230802427558386,64.1025641025641,8.44634832951702,-4.809349386837946,3.136134154739413,9.889124865975992,2.3289100992943346,0.01986382880163795,2.22051282051282,0.0,1.4673799185178016,B_M15,30,
15.0,1.9951191529425414,1.1597199660004271,60.0,4.912060394755016,-2.380292709776171,3.0954556815095975,4.6870476375094245,1.648599257069184,0.09922976104483161,2.186666666666667,0.0,-0.19154751372412543,A_M5,60,
39.0,-0.4706164367273899,-0.9888018202022764,35.8974358974359,5.377707019614854,-3.745677572279046,0.8039976407130982,5.885538095019761,-0.499359388712965,0.6175262237138066,2.22051282051282,0.0,-2.6911292572402106,B_M15,60,
