n,bruto_bp,med_bp,wr,v_bp,k_bp,pf,sd_bp,t,p,kulu_bp,lib_bp,neto_bp,rada,hoid_min,staatus
15.0,-1.7972161781521818,-1.157483331875519,6.666666666666667,1.157483331875519,-2.008266143154161,0.041168537910219,2.2593860920684468,-3.080743194778892,0.0020648465386554626,2.186666666666667,0.0,-3.983882844818848,A_M5,5,
,,,,,,,,,,,,,B_M15,5,DATA INSUFFICIENT
15.0,-0.9326094765162546,-1.1603443245472187,13.333333333333334,6.542156458665748,-2.0825734665442552,0.48328936539061185,4.043696304440308,-0.8932374488896264,0.3717300273675255,2.186666666666667,0.0,-3.1192761431829212,A_M5,15,
39.0,0.09366657814714818,0.0,46.15384615384615,5.895619475726541,-4.879435905492328,1.0356500669192499,6.914978238975937,0.08459138594952317,0.9325862475381907,2.22051282051282,0.0,-2.126846242365672,B_M15,15,
15.0,1.2207054995223077,1.157617324064801,66.66666666666666,3.684836140367687,-3.70755578216845,1.987744140271586,4.946142241197041,0.9558504061802943,0.3391478178290226,2.186666666666667,0.0,-0.9659611671443592,A_M5,30,
39.0,1.3967371328612972,2.3152527746060985,53.84615384615385,8.051938070027823,-6.367663960499652,1.4752549453989532,9.163953400868584,0.951840348531319,0.34117795568987885,2.22051282051282,0.0,-0.8237756876515231,B_M15,30,
15.0,0.5291069296992313,1.159451038208335,60.0,3.6872253999708864,-4.20807077570825,1.314340560021937,6.14553870871904,0.33344877059853323,0.7387955538645312,2.186666666666667,0.0,-1.6575597369674355,A_M5,60,
39.0,3.7815593171779334,2.410991064753338,64.1025641025641,9.691962195861514,-6.772731537614174,2.5554054894444342,11.042405955433445,2.138648992068687,0.03246410654586662,2.22051282051282,0.0,1.561046496665113,B_M15,60,
15.0,-0.07899544136975492,1.162914593432497,60.0,5.544965926763482,-8.514937493569612,0.976806805267387,9.507620880254992,-0.032179241547877095,0.9743291104500766,2.186666666666667,0.0,-2.2656621080364214,A_M5,120,
39.0,2.813828807098602,2.287404520548536,64.1025641025641,9.021201528585417,-8.270765338413572,1.9477385447127775,11.016430376199308,1.5951042822483688,0.11068891805234848,2.22051282051282,0.0,0.593315986585782,B_M15,120,
