n,bruto_bp,med_bp,wr,v_bp,k_bp,pf,sd_bp,t,p,kulu_bp,lib_bp,neto_bp,indikaator,mark,grupp
53,-0.7496956706176094,1.1318380583984624,50.943396226415096,13.529669012625073,-15.578266687831166,0.901900139423156,20.501643457156828,-0.2662160658983066,0.7900728105500967,2.052830188679246,0.0,-2.8025258592968556,Core Inflation Rate,1.0,
37,1.2279202754190435,2.2850549191129033,54.054054054054056,11.656288910929257,-11.040748707534147,1.242060790888539,14.296966311462336,0.5224288341173591,0.6013717843340292,2.3891891891891897,0.0,-1.161268913770146,Employment Change,1.0,
17,-3.526120155815471,-2.2850549191129033,35.294117647058826,7.087997373909723,-9.31563880839285,0.4150204258977641,10.7016489712187,-1.358535108948817,0.17429394996218361,2.3294117647058825,0.0,-5.855531920521353,GDP Annual Growth Rate,1.0,
34,-0.7134776782428244,-2.821153993136411,35.294117647058826,16.62709652695992,-10.171972699262504,0.89159946123325,16.789085696412265,-0.24779515067749314,0.8042929071424454,2.0352941176470587,0.0,-2.748771795889883,GDP Growth Rate,1.0,
64,-0.5550024187149268,0.0,48.4375,12.5868234258,-12.90035396962289,0.9165628842635414,17.976696827824966,-0.2469874967712086,0.8049179004996867,2.29375,0.0,-2.848752418714927,Inflation Rate,1.0,
43,2.1456691794788894,1.3332000153069383,53.48837209302325,15.218444685823894,-12.888022652817867,1.3579438723962027,19.864228964939112,0.7083131070808949,0.47875083937159646,2.3627906976744186,0.0,-0.21712151819552952,Inflation Rate Mom,1.0,
6,-4.048062502747003,-8.437633657358838,33.33333333333333,23.13184043955307,-17.63801397389704,0.6557382388342159,26.439451809294674,-0.3750337809628173,0.7076353435674867,2.8000000000000003,0.0,-6.848062502747003,Interest Rate,1.0,
11,0.6065400701634474,3.0714073185920556,54.54545454545454,13.928347025489112,-15.37962827622735,1.0867633554201162,17.494950732605442,0.11498551003626663,0.908456607175284,2.0,0.0,-1.3934599298365526,Non Farm Payrolls,1.0,
36,-2.3091178020799594,-2.3627432268910122,36.11111111111111,10.974601343952122,-9.81730688461983,0.6318469632391467,12.9631089335901,-1.0687796333007233,0.2851689786755318,2.2944444444444443,0.0,-4.603562246524404,Retail Sales MoM,1.0,
39,3.7011028550217797,-2.2850549191129033,41.02564102564102,17.812995590064393,-6.115866004138296,2.0261479073849804,14.348141397181076,1.6108971386369673,0.1072021437836499,2.261538461538462,0.0,1.439564393483318,Retail Sales YoY,1.0,
68,-0.8641393055723389,-2.733082675348541,44.11764705882353,12.095613151429106,-11.095522824257692,0.8606325658279997,14.479077410802864,-0.4921498146648951,0.622613438934654,2.285294117647059,0.0,-3.1494334232193983,Unemployment Rate,-1.0,
160,0.10631093360689749,0.9112909733337713,50.625,13.648355769316382,-13.778570480221813,1.0156266779317595,19.26871005881997,0.06978872780803552,0.9443618192082606,2.2325,0.0,-2.1261890663931027,,,CPI / inflatsioon
48,1.08552064504797,2.296143701997337,54.166666666666664,12.180610014289222,-12.026857700418963,1.1969266402829524,14.891468195973475,0.5050346641834573,0.6135344893250794,2.3000000000000003,0.0,-1.2144793549520303,,,toohoive / NFP
68,-0.8641393055723389,-2.733082675348541,44.11764705882353,12.095613151429106,-11.095522824257692,0.8606325658279997,14.479077410802864,-0.4921498146648951,0.622613438934654,2.285294117647059,0.0,-3.1494334232193983,,,tootus
51,-1.65102517076704,-2.3902949108674862,35.294117647058826,13.447396809276523,-9.88652806897262,0.7419130015086335,14.982579432884696,-0.7869591577052907,0.4313057752420142,2.1333333333333337,0.0,-3.784358504100374,,,SKP
6,-4.048062502747003,-8.437633657358838,33.33333333333333,23.13184043955307,-17.63801397389704,0.6557382388342159,26.439451809294674,-0.3750337809628173,0.7076353435674867,2.8000000000000003,0.0,-6.848062502747003,,,intressiotsus
75,0.8161969396129455,-2.32308024275608,38.666666666666664,14.747508514220959,-7.966586444379065,1.1670421690763988,13.940376330671004,0.507050360355588,0.6121194835111288,2.277333333333333,0.0,-1.4611363937203876,,,jaemuuk
423,0.3280128281420948,-0.7818471910871733,48.69976359338061,12.80933486195611,-11.52061546202236,1.0555003575986788,17.5485399402001,0.38443243630055546,0.7006579634118388,2.294089834515366,0.0,-1.9660770063732713,,,TIER2
