n,bruto_bp,med_bp,neto_bp,wr,sd_bp,t,p,paar,kulu_1suund_bp
140,33.78967896733598,57.92538400428693,31.78967896733598,60.71428571428571,218.29251688242243,1.8315097509618707,0.06702449363022622,EURUSD,1.0
136,81.28278848399525,88.94386692665641,78.88278848399524,59.55882352941176,286.1793586539605,3.312300591896674,0.0009253206532868763,GBPUSD,1.2
132,-2.720282838248743,1.4272396513986896,-4.720282838248743,50.0,275.58867291404914,-0.11340694822748314,0.9097079313625533,USDJPY,1.0
128,-31.047988012310284,-28.977369697737064,-33.647988012310286,42.96875,210.0992715946308,-1.6719138680737275,0.09454130772195457,USDCHF,1.3
144,-40.0181961869476,-43.04363302985118,-42.6181961869476,40.97222222222222,158.61031158179796,-3.0276616283911313,0.002464538784731518,USDCAD,1.3
160,14.444010706338359,17.033238220897157,12.044010706338359,51.87500000000001,284.8901940750134,0.6413133667613693,0.5213191064391145,AUDUSD,1.2
176,22.38456155459065,45.29359632934394,18.78456155459065,53.40909090909091,321.5106785558168,0.9236544441593457,0.35566625779008376,NZDUSD,1.8
116,54.466511512648786,38.543787100378154,50.06651151264879,65.51724137931035,168.33036720807485,3.4849462498081247,0.000492235910172889,EURGBP,2.2
88,54.92459526814846,22.94152569919468,50.52459526814846,52.27272727272727,266.65923609606403,1.932197744351443,0.05333510349827364,EURJPY,2.2
60,38.40656147945892,17.800843602949957,34.006561479458924,60.0,126.15630396871353,2.3581536287227443,0.018366090403310498,EURCHF,2.2
124,-5.772665624104112,-23.56236492252258,-10.172665624104114,46.774193548387096,198.8315848256935,-0.32329714585936836,0.7464702153168297,EURCAD,2.2
132,-48.323166951219186,-37.61073932532237,-52.723166951219184,40.15151515151515,220.58015470892798,-2.516957703622093,0.011837303857546111,EURAUD,2.2
136,3.954678792896128,-5.899643910856883,-0.4453212071038717,48.529411764705884,197.4928424502469,0.2335228103950293,0.8153554589912364,EURNZD,2.2
104,26.575381817752668,34.71319428804464,22.175381817752665,54.807692307692314,262.99523468723913,1.030500728509776,0.30277501044469,GBPJPY,2.2
116,65.76420948290762,52.81434206081125,61.36420948290761,59.48275862068966,216.2515330055503,3.275362736663565,0.0010552638174132767,GBPCHF,2.2
164,20.770393953631157,18.189919763410582,16.370393953631158,52.4390243902439,224.42756483142207,1.1851967742502874,0.2359396550560846,GBPCAD,2.2
104,16.433142740681525,32.89078832085004,12.033142740681525,57.692307692307686,281.00757534028156,0.5963747803092002,0.5509248844755921,GBPAUD,2.2
116,-29.083823306758863,-32.75598813979494,-33.483823306758865,46.55172413793103,214.9763145998899,-1.4571017464875295,0.14508829637898124,GBPNZD,2.2
60,52.63543228074053,62.59352787118333,48.23543228074053,61.66666666666667,217.97409911511048,1.8704621647371185,0.061419666330272626,JPYCHF,2.2
116,8.451056141193847,-0.18608503559872575,4.051056141193845,50.0,308.8319444433922,0.2947255355769513,0.7682035546131085,JPYCAD,2.2
116,-33.33097020810177,-40.00678261934265,-37.730970208101766,43.103448275862064,263.79382397614387,-1.3608564828913556,0.17355904806639133,JPYAUD,2.2
116,-36.52706397678875,-55.297514513444305,-40.92706397678876,39.6551724137931,275.2227388604122,-1.4294186610468838,0.15288393800590372,JPYNZD,2.2
80,-30.94442296065699,-39.5329592766017,-35.34442296065699,40.0,213.5961189451908,-1.2957882120000432,0.19504846038240764,CHFCAD,2.2
120,-27.334205861761134,-26.13130281345395,-31.734205861761136,45.0,270.50040811259976,-1.1069529429873821,0.2683142740406774,CHFAUD,2.2
152,-11.713760055944439,-3.9326247614534866,-16.11376005594444,49.34210526315789,245.9391246495959,-0.5872060138390933,0.5570653539048995,CHFNZD,2.2
168,9.37349080473499,13.704866743242876,4.97349080473499,53.57142857142857,188.59053569434823,0.6442228197797988,0.5194309552814373,CADAUD,2.2
172,2.6156870057217807,21.610224207632175,-1.7843129942782205,54.06976744186046,208.8820480741609,0.16422863426488885,0.8695511602496286,CADNZD,2.2
140,-32.55659757933859,-30.574585170903802,-36.95659757933859,41.42857142857143,161.45055259637974,-2.38596183968656,0.01703451853676463,AUDNZD,2.2
