n,bruto_bp,med_bp,neto_bp,wr,sd_bp,t,p,change_d_pp,n_kokku
20.0,-76.45238628941347,-37.70038496555439,-80.37238628941347,40.0,247.0391917060786,-1.3840130515695415,0.16635445839460727,0.05,20
,,,,,,,,0.1,4
84.0,-107.53979703810508,-130.65121730367233,-111.63503513334318,26.190476190476193,206.28344917402447,-4.777981579429202,1.7706359716207487e-06,0.15,84
24.0,-312.7459724440764,-343.34984271787425,-316.7459724440764,16.666666666666664,236.94046038657032,-6.466333781479695,1.0040901443630901e-10,0.2,24
2528.0,19.737774582498385,13.138759637616113,15.945053063511043,52.4129746835443,224.25157391574714,4.42538663305187,9.626970384424283e-06,0.25,2528
,,,,,,,,0.4,4
,,,,,,,,0.45,8
640.0,-6.222133078756988,16.819677236992995,-10.36338307875699,51.71875,271.87580573013986,-0.5789735465634823,0.5626070227884614,0.5,640
,,,,,,,,0.65,12
140.0,-77.48249099296812,-77.38303517239272,-81.25963385011099,36.42857142857142,294.5390073822404,-3.112610465973453,0.0018544060005780683,0.75,140
,,,,,,,,0.85,8
20.0,187.16707278591463,220.21278229833123,183.16707278591463,65.0,258.4994009514577,3.238060098851428,0.0012034545517640716,1.0,20
24.0,-10.506288263360096,-5.872348300942402,-13.806288263360095,41.66666666666667,120.97623175759261,-0.4254562232917076,0.6705041276313453,1.5,24
