n,bruto_bp,med_bp,neto_bp,wr,sd_bp,t,p,aasta
144,-3.9314533383848986,-10.413264375388705,-8.031453338384898,47.91666666666667,343.1200910512456,-0.1374954171761768,0.8906392149072848,2016
168,-11.412235867985721,-22.367800006698513,-14.736045391795246,44.047619047619044,210.57729288281394,-0.7024474523057294,0.482400161290061,2017
224,-16.801793825937107,-21.464013266084446,-20.126793825937106,48.214285714285715,231.70028052753162,-1.0853082410903738,0.27778515710530516,2018
240,26.175667736758204,8.825137702372672,22.70233440342487,52.083333333333336,200.0617628420924,2.0269325588286518,0.04266931023845455,2019
124,-37.72880975183373,-64.36821161959975,-41.6965516873176,37.096774193548384,236.93419342944776,-1.7731938083542595,0.07619659768561604,2020
56,-150.03810500869238,-149.28471657510954,-154.32381929440666,19.642857142857142,182.10948296420437,-6.165425048334093,7.029405946212819e-10,2021
724,-28.22999370201802,-33.81200430729835,-32.18689977936609,46.13259668508287,297.36627859612145,-2.554396711767322,0.010637198415137217,2022
580,40.155521380874134,47.14648061120657,36.19965931190862,57.24137931034483,207.46571345126557,4.6613630804310855,3.141220100921771e-06,2023
428,-18.892718917093315,-13.488958427414406,-22.857204898401726,47.19626168224299,234.93119478858762,-1.6637024661483857,0.09617190321072044,2024
628,30.416826559282075,20.481704411270155,26.45504311979163,53.503184713375795,197.0981174601683,3.8673301329651264,0.00011003342341009414,2025
200,80.58372839760828,69.26468403785687,76.62372839760829,70.0,165.28546091781368,6.89489571397657,5.39035482916006e-12,2026
