n,bruto_bp,med_bp,wr,v_bp,k_bp,pf,sd_bp,t,p,kulu_bp,lib_bp,neto_bp,rada,libisemine_bp,kulu_kokku_bp
10,2.0313460341955363,1.1558838853982059,50.0,4.527118908139565,-0.4644268397484928,9.747754696070528,3.49568400902862,1.8376032179731223,0.06612089429012658,2.22,0.0,-0.18865396580446422,M1,0.0,2.22
10,2.0313460341955363,1.1558838853982059,50.0,4.527118908139565,-0.4644268397484928,9.747754696070528,3.49568400902862,1.8376032179731223,0.06612089429012658,2.22,1.0,-1.1886539658044644,M1,1.0,3.22
10,2.0313460341955363,1.1558838853982059,50.0,4.527118908139565,-0.4644268397484928,9.747754696070528,3.49568400902862,1.8376032179731223,0.06612089429012658,2.22,2.0,-2.1886539658044644,M1,2.0,4.220000000000001
10,2.0313460341955363,1.1558838853982059,50.0,4.527118908139565,-0.4644268397484928,9.747754696070528,3.49568400902862,1.8376032179731223,0.06612089429012658,2.22,3.0,-3.1886539658044644,M1,3.0,5.220000000000001
10,2.0313460341955363,1.1558838853982059,50.0,4.527118908139565,-0.4644268397484928,9.747754696070528,3.49568400902862,1.8376032179731223,0.06612089429012658,2.22,5.0,-5.188653965804464,M1,5.0,7.220000000000001
10,2.0313460341955363,1.1558838853982059,50.0,4.527118908139565,-0.4644268397484928,9.747754696070528,3.49568400902862,1.8376032179731223,0.06612089429012658,2.22,10.0,-10.188653965804466,M1,10.0,12.22
15,-1.578455414339741,-1.1603443245472187,26.666666666666668,1.2275248571775585,-2.5988118767096684,0.1717602875905132,2.4163660599133965,-2.529969127561678,0.011407256334136306,2.186666666666667,0.0,-3.765122081006407,M5,0.0,2.186666666666667
15,-1.578455414339741,-1.1603443245472187,26.666666666666668,1.2275248571775585,-2.5988118767096684,0.1717602875905132,2.4163660599133965,-2.529969127561678,0.011407256334136306,2.186666666666667,1.0,-4.765122081006408,M5,1.0,3.186666666666667
15,-1.578455414339741,-1.1603443245472187,26.666666666666668,1.2275248571775585,-2.5988118767096684,0.1717602875905132,2.4163660599133965,-2.529969127561678,0.011407256334136306,2.186666666666667,2.0,-5.765122081006408,M5,2.0,4.186666666666667
15,-1.578455414339741,-1.1603443245472187,26.666666666666668,1.2275248571775585,-2.5988118767096684,0.1717602875905132,2.4163660599133965,-2.529969127561678,0.011407256334136306,2.186666666666667,3.0,-6.765122081006407,M5,3.0,5.186666666666667
15,-1.578455414339741,-1.1603443245472187,26.666666666666668,1.2275248571775585,-2.5988118767096684,0.1717602875905132,2.4163660599133965,-2.529969127561678,0.011407256334136306,2.186666666666667,5.0,-8.765122081006407,M5,5.0,7.186666666666667
15,-1.578455414339741,-1.1603443245472187,26.666666666666668,1.2275248571775585,-2.5988118767096684,0.1717602875905132,2.4163660599133965,-2.529969127561678,0.011407256334136306,2.186666666666667,10.0,-13.765122081006407,M5,10.0,12.186666666666667
39,-0.1647091674585323,0.0,43.58974358974359,5.524124614211851,-4.560626180567465,0.9359771176892177,6.630766625609425,-0.15512662097376453,0.8767214957150549,2.22051282051282,0.0,-2.3852219879713528,M15,0.0,2.22051282051282
39,-0.1647091674585323,0.0,43.58974358974359,5.524124614211851,-4.560626180567465,0.9359771176892177,6.630766625609425,-0.15512662097376453,0.8767214957150549,2.22051282051282,1.0,-3.3852219879713528,M15,1.0,3.22051282051282
39,-0.1647091674585323,0.0,43.58974358974359,5.524124614211851,-4.560626180567465,0.9359771176892177,6.630766625609425,-0.15512662097376453,0.8767214957150549,2.22051282051282,2.0,-4.385221987971352,M15,2.0,4.22051282051282
39,-0.1647091674585323,0.0,43.58974358974359,5.524124614211851,-4.560626180567465,0.9359771176892177,6.630766625609425,-0.15512662097376453,0.8767214957150549,2.22051282051282,3.0,-5.385221987971352,M15,3.0,5.22051282051282
39,-0.1647091674585323,0.0,43.58974358974359,5.524124614211851,-4.560626180567465,0.9359771176892177,6.630766625609425,-0.15512662097376453,0.8767214957150549,2.22051282051282,5.0,-7.385221987971352,M15,5.0,7.22051282051282
39,-0.1647091674585323,0.0,43.58974358974359,5.524124614211851,-4.560626180567465,0.9359771176892177,6.630766625609425,-0.15512662097376453,0.8767214957150549,2.22051282051282,10.0,-12.385221987971354,M15,10.0,12.22051282051282
