tuup,sekundeid,M1,M5,M15,rada,algus,lopp,n_t1,n_t1t2
viivitus,0.0,JAH,JAH,JAH,,,,,
viivitus,1.0,EI,EI,EI,,,,,
viivitus,3.0,EI,EI,EI,,,,,
viivitus,5.0,EI,EI,EI,,,,,
viivitus,10.0,EI,EI,EI,,,,,
viivitus,15.0,EI,EI,EI,,,,,
viivitus,30.0,EI,EI,EI,,,,,
viivitus,60.0,JAH,EI,EI,,,,,
hoid,5.0,EI,EI,EI,,,,,
hoid,10.0,EI,EI,EI,,,,,
hoid,15.0,EI,EI,EI,,,,,
hoid,30.0,EI,EI,EI,,,,,
hoid,60.0,JAH,EI,EI,,,,,
hoid,120.0,JAH,EI,EI,,,,,
katvus,,,,,M1,2026-08-19 12:42:00,2026-09-16 12:43:00,10.0,22.0
katvus,,,,,M5,2026-08-05 23:00:00,2026-09-16 11:21:00,15.0,33.0
katvus,,,,,M15,2026-06-22 23:00:00,2026-09-11 21:30:00,39.0,72.0
