tuup,sek,n,keskm_bp,med_bp,wr,t,p,algus_s,lopp_s,kaubeldav
kumulatiiv,60.0,10,10.452299901492923,5.453677976938776,70.0,2.3072351774890674,0.021041713016938246,,,
kumulatiiv,120.0,10,12.483645935688099,6.601475493929243,50.0,2.2690614392497306,0.02326458989980207,,,
kumulatiiv,300.0,10,14.522449513984762,9.053594100643096,70.0,2.5631273130373176,0.010373400254526821,,,
kumulatiiv,600.0,10,12.497276135346358,7.399719277281567,80.0,2.322143146696498,0.020225229081317853,,,
kumulatiiv,1800.0,10,12.602789973983892,7.519969986203189,80.0,2.300707908689473,0.021408146766678016,,,
kumulatiiv,3600.0,10,12.461687286357465,8.137963986218335,70.0,3.081313959989352,0.0020608921810967296,,,
inkrement,,10,10.452299901492923,5.453677976938776,70.0,2.3072351774890674,0.021041713016938246,0.0,60.0,False
inkrement,,10,2.0313460341951752,1.1558838853980777,50.0,1.837603217973089,0.06612089429013146,60.0,120.0,True
inkrement,,10,2.0388035782966645,2.238776784137373,60.0,1.3960460187033987,0.16270063779049804,120.0,300.0,True
inkrement,,10,-2.025173378638406,-1.1698039215531002,10.0,-3.1350660295692854,0.0017181543376523223,300.0,600.0,True
inkrement,,10,0.10551383863753322,0.5805335496864175,50.0,0.08651206064068241,0.9310593690126001,600.0,1800.0,True
inkrement,,10,-0.14110268762642558,2.901868221542355,70.0,-0.0508650678082507,0.9594330413106855,1800.0,3600.0,True
