indikaator,mark,n_toores,n,bruto_bp,med_bp,wr,v_bp,k_bp,pf,sd_bp,t,p,kulu_bp,lib_bp,neto_bp,grupp
Core Inflation Rate,1.0,2,,,,,,,,,,,,,,
Employment Change,1.0,3,,,,,,,,,,,,,,
GDP Annual Growth Rate,1.0,0,,,,,,,,,,,,,,
GDP Growth Rate,1.0,2,,,,,,,,,,,,,,
Inflation Rate,1.0,4,,,,,,,,,,,,,,
Inflation Rate Mom,1.0,2,,,,,,,,,,,,,,
Interest Rate,1.0,0,,,,,,,,,,,,,,
Non Farm Payrolls,1.0,3,,,,,,,,,,,,,,
Retail Sales MoM,1.0,4,,,,,,,,,,,,,,
Retail Sales YoY,1.0,2,,,,,,,,,,,,,,
Unemployment Rate,-1.0,3,,,,,,,,,,,,,,
,,8,8.0,-0.10151515194845626,0.7177333991620429,50.0,2.805262037248489,-3.0082923411454017,0.9325097826697225,3.675800601079811,-0.07811310800139631,0.9377380803776378,2.4,0.0,-2.5015151519484564,CPI/inflatsioon
,,6,6.0,1.3142013038092182,-0.0014304963358497038,50.0,4.669165507301158,-2.040762899682722,2.2879509952023698,4.920559643759789,0.6542187975945829,0.5129708526610903,2.3000000000000003,0.0,-0.9857986961907822,toohoive/NFP
,,3,,,,,,,,,,,,,,tootus
,,2,,,,,,,,,,,,,,SKP
,,0,,,,,,,,,,,,,,intressiotsus
,,6,6.0,-1.5469015326846562,-1.161923235746749,16.666666666666664,1.1543699263883629,-2.08715582449926,0.11061655414878412,2.274965968641923,-1.665571920475196,0.09579870776111354,2.0,0.0,-3.5469015326846565,jaemuuk
