n,bruto_bp,med_bp,wr,v_bp,k_bp,pf,sd_bp,t,p,kulu_bp,lib_bp,neto_bp,rada,test,viivitus_med_s,hoid_med_s
10.0,2.0313460341955363,1.1558838853982059,50.0,4.527118908139565,-0.4644268397484928,9.747754696070528,3.49568400902862,1.8376032179731223,0.06612089429012658,2.22,0.0,-0.18865396580446422,M1,PRIMARY,60.0,60.0
15.0,-1.578455414339741,-1.1603443245472187,26.666666666666668,1.2275248571775585,-2.5988118767096684,0.1717602875905132,2.4163660599133965,-2.529969127561678,0.011407256334136306,2.186666666666667,0.0,-3.765122081006407,M5,kontroll,300.0,300.0
39.0,-0.1647091674585323,0.0,43.58974358974359,5.524124614211851,-4.560626180567465,0.9359771176892177,6.630766625609425,-0.15512662097376453,0.8767214957150549,2.22051282051282,0.0,-2.3852219879713528,M15,kontroll,900.0,900.0
22.0,0.706022380075985,0.0,40.909090909090914,2.8776548483274236,-0.7974154825596264,2.4983495190095373,2.7453639075563205,1.2062293414660956,0.2277290734212536,2.354545454545454,0.0,-1.6485230744694692,M1,T1+T2,,
33.0,-0.9506927114610066,-1.157842612156835,33.33333333333333,1.4144783241040224,-2.133278229243521,0.3315269205661956,2.198829238953573,-2.4837371369474357,0.013001173865459847,2.3333333333333335,0.0,-3.28402604479434,M5,T1+T2,,
72.0,-0.3869542695964411,0.0,43.05555555555556,4.230370024986094,-3.8781019069637237,0.8247778255060266,5.677764482209178,-0.5782937750900188,0.5630657963925401,2.302777777777778,0.0,-2.689732047374219,M15,T1+T2,,
10.0,2.0313460341955363,1.1558838853982059,50.0,4.527118908139565,-0.4644268397484928,9.747754696070528,3.49568400902862,1.8376032179731223,0.06612089429012658,2.22,0.0,-0.18865396580446422,M1,lavi_1.0,,
15.0,-1.578455414339741,-1.1603443245472187,26.666666666666668,1.2275248571775585,-2.5988118767096684,0.1717602875905132,2.4163660599133965,-2.529969127561678,0.011407256334136306,2.186666666666667,0.0,-3.765122081006407,M5,lavi_1.0,,
5.0,1.6128049876260677,2.3117677707964117,60.0,3.07503067916719,-0.580533549685616,7.945356510831593,2.0966445575660257,1.7200538707281703,0.08542264974083258,2.24,0.0,-0.6271950123739326,M1,lavi_1.5,,
7.0,-2.3809836596717924,-1.1627793721222661,28.57142857142857,1.1585746492553144,-3.796806983242635,0.12205778743757391,3.117440245312981,-2.02072538476758,0.04330820054319995,2.1714285714285717,0.0,-4.552412231100364,M5,lavi_1.5,,
,,,,,,,,,,,,,M1,lavi_2.0,,
5.0,-3.333864133055519,-5.4364125200171936,20.0,1.1543699263883629,-4.4559226479164895,0.06476604384773857,3.1512885976945526,-2.3656185709916744,0.017999978409681816,2.24,0.0,-5.573864133055519,M5,lavi_2.0,,
