ts_utc,valuuta,paar,indikaator,tier,z,n_-10s,n_-5s,n_-1s,n_0s,n_1s,n_3s,n_5s,n_10s,n_30s,n_60s,tikke_paeval,eel_s,jarg_s,kaetud,pohjus
2026-07-14 12:30:00,USD,EURUSD,Core Inflation Rate,T1,-1.571,-30,-21,-9,0,16,45,79,152,400,742,24404,0.009,0.044,True,
2026-07-14 12:30:00,USD,EURUSD,Inflation Rate,T1,-2.618,-30,-21,-9,0,16,45,79,152,400,742,24404,0.009,0.044,True,
2026-07-14 12:30:00,USD,EURUSD,Inflation Rate Mom,T1,-3.29,-30,-21,-9,0,16,45,79,152,400,742,24404,0.009,0.044,True,
2026-07-20 12:30:00,CAD,USDCAD,Inflation Rate Mom,T1,-1.212,-4,-3,-1,0,13,33,42,65,126,170,10825,0.028,0.074,True,
2026-07-23 01:30:00,AUD,AUDUSD,Employment Change,T1,1.816,-11,-8,-3,0,13,35,56,96,191,303,22175,0.044,0.11,True,
2026-07-24 06:00:00,GBP,GBPUSD,Retail Sales MoM,T1,1.385,-8,-6,-3,0,7,21,36,51,100,120,6100,0.034,0.17,True,
2026-07-24 06:00:00,GBP,GBPUSD,Retail Sales YoY,T1,1.632,-8,-6,-3,0,7,21,36,51,100,120,6100,0.034,0.17,True,
2026-07-29 01:30:00,AUD,AUDUSD,Inflation Rate,T1,-1.019,-11,-6,-3,0,12,39,62,113,290,485,8094,0.036,0.167,True,
2026-07-30 09:00:00,EUR,EURUSD,GDP Annual Growth Rate,T1,2.907,-11,-6,-3,0,1,3,3,6,40,50,14073,0.291,0.42,True,
2026-07-30 09:00:00,EUR,EURUSD,GDP Growth Rate,T1,1.692,-11,-6,-3,0,1,3,3,6,40,50,14073,0.291,0.42,True,
2026-07-30 09:00:00,EUR,EURUSD,Unemployment Rate,T1,1.211,-11,-6,-3,0,1,3,3,6,40,50,14073,0.291,0.42,True,
2026-07-30 12:30:00,USD,EURUSD,GDP Growth Rate,T1,-1.08,-19,-15,-8,0,4,10,23,58,177,257,14073,0.021,0.086,True,
2026-07-30 23:50:00,JPY,USDJPY,Retail Sales YoY,T1,-2.292,-4,-3,-1,0,3,5,5,5,33,75,13633,0.032,0.122,True,
2026-07-31 09:00:00,EUR,EURUSD,Core Inflation Rate,T1,1.059,-45,-21,-3,0,8,19,26,50,178,286,9550,0.301,0.056,True,
2026-08-04 22:45:00,NZD,NZDUSD,Unemployment Rate,T1,1.059,-5,-3,-1,0,10,13,18,42,98,144,2028,0.931,0.026,True,
2026-08-06 09:00:00,EUR,EURUSD,Retail Sales MoM,T1,-2.452,-13,-8,-3,0,2,2,5,10,25,36,3769,0.082,0.021,True,
2026-08-07 12:30:00,USD,EURUSD,Unemployment Rate,T1,-1.033,-31,-19,-7,0,7,35,63,131,379,661,17729,0.016,0.036,True,
2026-08-07 12:30:00,USD,EURUSD,Non Farm Payrolls,T1,-1.477,-31,-19,-7,0,7,35,63,131,379,661,17729,0.016,0.036,True,
2026-08-07 12:30:00,CAD,USDCAD,Employment Change,T1,1.144,-23,-15,-8,0,4,28,49,110,295,571,21176,0.083,0.025,True,
2026-08-14 12:30:00,USD,EURUSD,Retail Sales MoM,T1,-2.232,-30,-15,-6,0,13,37,55,95,254,372,7124,0.035,0.017,True,
2026-08-26 01:30:00,AUD,AUDUSD,Inflation Rate,T1,1.082,-2,-2,-2,0,7,30,41,67,185,311,5124,0.296,0.422,True,
2026-09-01 09:00:00,EUR,EURUSD,Unemployment Rate,T1,1.165,-21,-13,-6,0,1,3,7,12,40,66,6017,0.076,0.029,True,
2026-09-01 09:00:00,EUR,EURUSD,Core Inflation Rate,T1,-1.059,-21,-13,-6,0,1,3,7,12,40,66,6017,0.076,0.029,True,
2026-09-03 06:30:00,CHF,USDCHF,Inflation Rate,T1,2.366,-26,-17,-8,0,12,29,50,82,142,212,92845,0.068,0.037,True,
2026-09-03 06:30:00,CHF,USDCHF,Inflation Rate Mom,T1,3.155,-26,-17,-8,0,12,29,50,82,142,212,92845,0.068,0.037,True,
2026-09-04 09:00:00,EUR,EURUSD,Retail Sales YoY,T1,-1.031,-9,-1,0,0,4,5,6,10,32,50,16885,4.716,0.074,True,
2026-09-04 09:00:00,EUR,EURUSD,Retail Sales MoM,T1,-5.198,-9,-1,0,0,4,5,6,10,32,50,16885,4.716,0.074,True,
2026-09-04 12:30:00,CAD,USDCAD,Employment Change,T1,-1.056,-17,-11,-5,0,6,27,43,99,333,669,12443,0.022,0.08,True,
2026-09-04 12:30:00,USD,EURUSD,Non Farm Payrolls,T1,1.516,-33,-24,-8,0,10,37,64,125,363,683,16885,0.031,0.023,True,
2026-09-07 09:00:00,EUR,EURUSD,GDP Growth Rate,T1,1.598,-10,-6,-2,0,0,0,3,7,21,38,9090,0.306,3.663,True,
