symbol,paev,tikke,algus,lopp,spread_med,spread_min,neg_spread,bid_max_0,ask_max_0
AUDUSD,2026-07-14,23951,2026-07-14 11:00:00,2026-07-14 13:59:59,9e-05,1e-05,0,0,0
AUDUSD,2026-07-20,13951,2026-07-20 11:00:00,2026-07-20 23:59:59,9e-05,6e-05,0,0,0
AUDUSD,2026-07-23,22175,2026-07-23 01:00:00,2026-07-23 13:59:59,9e-05,6e-05,0,0,0
AUDUSD,2026-07-29,8094,2026-07-29 00:00:00,2026-07-29 01:59:59,9e-05,4e-05,0,0,0
AUDUSD,2026-08-07,14496,2026-08-07 11:00:00,2026-08-07 13:59:59,9e-05,6e-05,0,0,0
AUDUSD,2026-08-26,5124,2026-08-26 00:00:00,2026-08-26 01:59:55,8e-05,4e-05,0,0,0
AUDUSD,2026-09-03,55938,2026-09-03 00:00:00,2026-09-03 23:59:54,8e-05,4e-05,0,0,0
EURUSD,2026-07-14,24404,2026-07-14 11:00:00,2026-07-14 13:59:59,3e-05,1e-05,0,0,0
EURUSD,2026-07-20,12989,2026-07-20 11:00:00,2026-07-20 23:59:59,3e-05,1e-05,0,0,0
EURUSD,2026-07-23,5313,2026-07-23 00:00:00,2026-07-23 02:59:56,3e-05,1e-05,0,0,0
EURUSD,2026-07-24,6954,2026-07-24 05:00:00,2026-07-24 07:59:58,3e-05,1e-05,0,0,0
EURUSD,2026-07-30,14073,2026-07-30 08:00:00,2026-07-30 12:59:59,3e-05,1e-05,0,0,0
EURUSD,2026-07-31,9550,2026-07-31 08:00:00,2026-07-31 09:59:58,3e-05,1e-05,0,0,0
EURUSD,2026-08-06,3769,2026-08-06 08:00:00,2026-08-06 09:59:59,3e-05,1e-05,0,0,0
EURUSD,2026-08-07,17729,2026-08-07 11:00:00,2026-08-07 13:59:59,3e-05,1e-05,0,0,0
EURUSD,2026-08-14,7124,2026-08-14 11:00:00,2026-08-14 12:59:59,3e-05,1e-05,0,0,0
EURUSD,2026-09-01,6017,2026-09-01 08:00:00,2026-09-01 09:59:59,3e-05,1e-05,0,0,0
EURUSD,2026-09-03,69178,2026-09-03 00:00:00,2026-09-03 23:59:59,3e-05,1e-05,0,0,0
EURUSD,2026-09-04,16885,2026-09-04 08:00:00,2026-09-04 12:59:59,3e-05,1e-05,0,0,0
EURUSD,2026-09-07,9090,2026-09-07 08:00:00,2026-09-07 12:59:59,3e-05,1e-05,0,0,0
GBPUSD,2026-07-14,30292,2026-07-14 11:00:00,2026-07-14 13:59:59,6e-05,2e-05,0,0,0
GBPUSD,2026-07-20,21152,2026-07-20 11:00:00,2026-07-20 23:59:58,6e-05,1e-05,0,0,0
GBPUSD,2026-07-23,12383,2026-07-23 00:00:00,2026-07-23 02:59:59,7e-05,2e-05,0,0,0
GBPUSD,2026-07-24,6100,2026-07-24 05:00:00,2026-07-24 06:59:59,7e-05,1e-05,0,0,0
GBPUSD,2026-08-07,21794,2026-08-07 11:00:01,2026-08-07 13:59:59,6e-05,2e-05,0,0,0
GBPUSD,2026-09-03,96122,2026-09-03 00:00:00,2026-09-03 23:59:59,6e-05,1e-05,0,0,0
NZDUSD,2026-07-14,19860,2026-07-14 11:00:00,2026-07-14 13:59:58,0.0001,1e-05,0,0,0
NZDUSD,2026-07-20,14504,2026-07-20 11:00:00,2026-07-20 23:59:59,0.0001,4e-05,0,0,0
NZDUSD,2026-08-04,2028,2026-08-04 21:00:00,2026-08-04 22:59:22,0.00014,5e-05,0,0,0
NZDUSD,2026-08-07,16132,2026-08-07 11:00:00,2026-08-07 13:59:59,9e-05,4e-05,0,0,0
NZDUSD,2026-09-03,82694,2026-09-03 00:00:00,2026-09-03 23:59:59,9e-05,4e-05,0,0,0
USDCAD,2026-07-14,21234,2026-07-14 11:00:00,2026-07-14 13:59:59,0.00011,4e-05,0,0,0
USDCAD,2026-07-20,10825,2026-07-20 11:00:00,2026-07-20 23:59:58,0.00011,4e-05,0,0,0
USDCAD,2026-08-07,21176,2026-08-07 11:00:00,2026-08-07 13:59:58,0.00012,4e-05,0,0,0
USDCAD,2026-09-03,73423,2026-09-03 00:00:00,2026-09-03 23:59:19,0.00011,4e-05,0,0,0
USDCAD,2026-09-04,12443,2026-09-04 11:00:00,2026-09-04 12:59:59,0.00011,4e-05,0,0,0
USDCHF,2026-07-14,22415,2026-07-14 11:00:00,2026-07-14 13:59:59,8e-05,4e-05,0,0,0
USDCHF,2026-07-20,12484,2026-07-20 11:00:01,2026-07-20 23:59:59,8e-05,4e-05,0,0,0
USDCHF,2026-07-23,5202,2026-07-23 00:00:00,2026-07-23 02:59:57,9e-05,5e-05,0,0,0
USDCHF,2026-08-07,17391,2026-08-07 11:00:00,2026-08-07 13:59:59,8e-05,4e-05,0,0,0
USDCHF,2026-09-03,92845,2026-09-03 00:00:00,2026-09-03 23:59:59,8e-05,4e-05,0,0,0
USDJPY,2026-07-14,26759,2026-07-14 11:00:00,2026-07-14 13:59:59,0.004,0.001,0,0,0
USDJPY,2026-07-20,15358,2026-07-20 11:00:01,2026-07-20 23:59:59,0.005,0.001,0,0,0
USDJPY,2026-07-23,8944,2026-07-23 00:00:00,2026-07-23 02:59:59,0.004,0.001,0,0,0
USDJPY,2026-07-30,13633,2026-07-30 22:00:00,2026-07-30 23:59:59,0.006,0.001,0,0,0
USDJPY,2026-08-07,29574,2026-08-07 11:00:00,2026-08-07 13:59:59,0.003,0.001,0,0,0
USDJPY,2026-09-03,223386,2026-09-03 00:00:00,2026-09-03 23:59:59,0.004,0.001,0,0,0
