paev,n_t1_z1,n_t1_koik,tunnid
2026-07-14,3,3,"11 12 13"
2026-07-20,1,4,"11 12 13 21 22 23"
2026-07-23,1,4,"0 1 2 11 12 13 22 23"
2026-07-24,2,2,"5 6 7"
2026-07-29,1,3,"0 1 2 17 18 19"
2026-07-30,5,6,"8 9 10 11 12 13 22 23"
2026-07-31,1,4,"2 3 4 5 6 7 8 9 10"
2026-08-04,1,2,"21 22 23"
2026-08-06,1,2,"8 9 10"
2026-08-07,3,4,"11 12 13"
2026-08-14,1,4,"8 9 10 11 12 13"
2026-08-26,1,3,"0 1 2 11 12 13"
2026-09-01,2,4,"5 6 7 8 9 10"
2026-09-03,2,3,"5 6 7 8"
2026-09-04,4,6,"8 9 10 11 12 13"
2026-09-07,1,4,"8 9 10 22 23"
