Date,Rate
2016-09-01,0.255
2016-10-01,0.307
2016-11-01,0.431
2016-12-01,0.489
2017-01-01,0.497
2017-02-01,0.510
2017-03-01,0.723
2017-04-01,0.785
2017-05-01,0.879
2017-06-01,0.971
2017-07-01,1.055
2017-08-01,1.010
2017-09-01,1.016
2017-10-01,1.063
2017-11-01,1.214
2017-12-01,1.301
2018-01-01,1.397
2018-02-01,1.550
2018-03-01,1.680
2018-04-01,1.735
2018-05-01,1.845
2018-06-01,1.883
2018-07-01,1.937
2018-08-01,2.018
2018-09-01,2.113
2018-10-01,2.231
2018-11-01,2.312
2018-12-01,2.343
2019-01-01,2.358
2019-02-01,2.374
2019-03-01,2.389
2019-04-01,2.367
2019-05-01,2.338
2019-06-01,2.156
2019-07-01,2.084
2019-08-01,1.934
2019-09-01,1.875
2019-10-01,1.631
2019-11-01,1.527
2019-12-01,1.518
2020-01-01,1.507
2020-02-01,1.501
2020-03-01,0.244
2020-04-01,0.108
2020-05-01,0.111
2020-06-01,0.145
2020-07-01,0.112
2020-08-01,0.091
2020-09-01,0.095
2020-10-01,0.089
2020-11-01,0.079
2020-12-01,0.074
2021-01-01,0.072
2021-02-01,0.032
2021-03-01,0.019
2021-04-01,0.011
2021-05-01,0.007
2021-06-01,0.027
2021-07-01,0.042
2021-08-01,0.046
2021-09-01,0.032
2021-10-01,0.043
2021-11-01,0.042
2021-12-01,0.047
2022-01-01,0.131
2022-02-01,0.294
2022-03-01,0.416
2022-04-01,0.730
2022-05-01,0.937
2022-06-01,1.442
2022-07-01,2.167
2022-08-01,2.583
2022-09-01,3.075
2022-10-01,3.647
2022-11-01,4.111
2022-12-01,4.209
2023-01-01,4.507
2023-02-01,4.628
2023-03-01,4.640
2023-04-01,4.875
2023-05-01,5.087
2023-06-01,5.132
2023-07-01,5.234
2023-08-01,5.283
2023-09-01,5.301
2023-10-01,5.322
2023-11-01,5.257
2023-12-01,5.224
2024-01-01,5.210
2024-02-01,5.226
2024-03-01,5.227
2024-04-01,5.233
2024-05-01,5.243
2024-06-01,5.232
2024-07-01,5.191
2024-08-01,5.039
2024-09-01,4.707
2024-10-01,4.500
2024-11-01,4.406
2024-12-01,4.253
2025-01-01,4.200
2025-02-01,4.208
2025-03-01,4.191
2025-04-01,4.196
2025-05-01,4.232
2025-06-01,4.220
2025-07-01,4.235
2025-08-01,4.115
2025-09-01,3.906
2025-10-01,3.809
2025-11-01,3.766
2025-12-01,3.574
2026-01-01,3.554
2026-02-01,3.591
2026-03-01,3.603
2026-04-01,3.600
2026-05-01,3.587
2026-06-01,3.648
2026-07-01,3.716
2026-08-01,3.710
2026-09-01,3.781
