cur,date,nc_long,nc_short,comm_long,comm_short,oi
AUD,2000-01-11,9782,642,9934,27303,30290
AUD,2000-01-18,17623,314,9908,37993,40500
AUD,2000-01-25,15623,224,10421,35061,38359
AUD,2000-02-01,1861,4873,25151,20508,33312
AUD,2000-02-08,1646,4744,25312,20787,32010
AUD,2000-02-15,746,5693,26010,18444,31826
AUD,2000-02-22,1074,6099,25934,17683,31711
AUD,2000-02-29,801,8014,27479,17067,33732
AUD,2000-03-07,885,8588,29527,17971,35724
AUD,2000-03-14,921,9342,15848,4209,20595
AUD,2000-03-21,872,9179,16483,4561,21335
AUD,2000-03-28,836,8684,16838,5396,22401
AUD,2000-04-04,872,8440,16572,4896,22574
AUD,2000-04-11,1262,9277,17432,5424,23356
AUD,2000-04-18,869,9834,19023,4546,24969
AUD,2000-04-25,869,9161,19703,5501,25230
AUD,2000-05-02,475,10058,20128,5328,25510
AUD,2000-05-09,475,8523,18542,5934,23977
AUD,2000-05-16,0,5768,17423,4125,24091
AUD,2000-05-23,0,5283,18103,3977,24119
AUD,2000-05-30,0,4782,16761,4389,23560
AUD,2000-06-06,0,5438,19016,6679,25818
AUD,2000-06-13,417,4296,21157,11807,30014
AUD,2000-08-29,500,3007,12070,7885,22356
AUD,2000-09-05,600,3322,13563,10705,23929
AUD,2000-09-12,1250,4804,20925,15102,32544
AUD,2000-09-26,1500,4922,13051,6949,23818
AUD,2000-10-03,1500,5113,13159,6785,24100
AUD,2000-10-10,1500,4990,13710,7154,24487
AUD,2000-10-17,1500,4701,13829,7014,24654
AUD,2000-10-24,1700,3428,13229,7575,24107
AUD,2000-10-31,1700,3846,13553,7461,24973
AUD,2000-11-07,1700,4316,13170,8056,24313
AUD,2000-11-14,1700,3441,12979,8252,24415
AUD,2000-11-21,1700,3970,14643,8538,25701
AUD,2000-11-28,1700,2473,13914,9037,24753
AUD,2000-12-05,2641,1981,15304,16901,28474
AUD,2000-12-12,2641,1971,16512,18129,30062
AUD,2001-01-02,4514,1468,8468,15673,23374
AUD,2001-01-09,4695,1363,9297,20070,25878
AUD,2001-01-16,4581,1322,9975,20345,26450
AUD,2001-01-23,3695,858,9988,19583,25392
AUD,2001-01-30,3225,1351,8828,17815,23202
AUD,2001-02-06,3685,1854,9645,16811,23352
AUD,2001-02-13,2562,2250,11677,15435,24104
AUD,2001-02-20,2229,3444,15505,15245,25814
AUD,2001-02-27,2386,3787,15881,15036,26498
AUD,2001-03-06,2430,3967,24058,21581,35712
AUD,2001-03-13,3109,4597,27547,23354,42016
AUD,2001-03-20,1776,4944,13729,7612,25392
AUD,2001-03-27,1852,4480,13415,7620,26034
AUD,2001-04-03,1895,5027,14173,7750,26563
AUD,2001-04-10,1895,5540,14941,8194,27091
AUD,2001-04-17,1895,4964,14663,9629,26220
AUD,2001-04-24,1925,3148,13917,13262,25375
AUD,2001-05-01,1950,2735,14578,13421,25961
AUD,2001-05-08,1950,2694,13458,12654,25187
AUD,2001-05-15,2420,3779,15025,13366,26570
AUD,2001-05-22,3350,1842,14602,16527,28223
AUD,2001-05-29,2968,2352,15593,15917,27921
AUD,2001-06-05,2195,1352,15476,14392,25951
AUD,2001-06-12,2100,2021,16229,16176,28945
AUD,2001-07-03,1700,2411,9302,8245,18832
AUD,2001-07-10,1700,2225,7645,7895,18348
AUD,2001-07-17,1993,3846,10397,7848,21834
AUD,2001-07-24,2665,3823,10509,8157,21886
AUD,2001-07-31,2623,3390,10503,7644,23550
AUD,2001-08-07,1500,2090,8304,10537,21232
AUD,2001-08-14,1900,2018,11612,15456,22711
AUD,2001-08-21,5975,1251,9380,22852,26018
AUD,2001-08-28,6695,2709,5430,18783,27949
AUD,2001-09-04,5677,1744,5252,19999,26449
AUD,2001-09-10,4759,1056,7234,18961,28692
AUD,2001-09-18,2552,4382,9122,9057,22407
AUD,2001-09-25,2084,3900,8900,9418,22796
AUD,2001-10-02,2622,3827,9657,8859,23946
AUD,2001-10-09,2181,4693,11672,8193,23874
AUD,2001-10-16,1617,2559,10104,9989,21924
AUD,2001-10-23,1597,2244,10088,10160,21557
AUD,2001-10-30,2210,1670,10365,11084,21672
AUD,2001-11-06,2634,1638,9800,11496,21872
AUD,2001-11-13,3028,3016,10151,14530,24463
AUD,2001-11-20,3729,428,7725,16256,24095
AUD,2001-11-27,3637,428,7241,16338,23520
AUD,2001-12-04,2664,528,7075,15255,22626
AUD,2001-12-11,1864,1942,7002,14246,24669
AUD,2002-01-29,2500,1523,9005,15628,23264
AUD,2002-02-05,2265,1879,9389,13091,22051
AUD,2002-02-12,2277,5114,12939,12173,23861
AUD,2002-02-26,1889,1804,10429,14971,21858
AUD,2002-03-12,8849,3423,13611,31210,40202
AUD,2002-03-19,9853,2978,8046,27784,33061
AUD,2002-03-26,13628,1368,8916,36199,40611
AUD,2002-04-02,15926,1623,7648,38293,43378
AUD,2002-04-09,25660,1623,8594,48195,53917
AUD,2002-04-16,19241,2074,8964,43351,48665
AUD,2002-04-23,20887,1536,8662,45251,49941
AUD,2002-04-30,18671,2050,9329,43473,48150
AUD,2002-05-07,17665,2336,9497,42345,48575
AUD,2002-05-14,13392,2055,9744,38721,45570
AUD,2002-05-21,10944,2873,9352,34595,41905
AUD,2002-05-28,13737,1915,9191,37092,43033
AUD,2002-06-04,14948,919,10638,40718,46120
AUD,2002-06-11,11974,625,15451,43059,52016
AUD,2002-06-18,9276,840,6218,30826,34311
AUD,2002-06-25,7315,753,6024,29834,33939
AUD,2002-07-02,7708,1486,8033,29335,34128
AUD,2002-07-09,7641,1304,8253,29407,33989
AUD,2002-07-16,7087,2708,7899,26050,32752
AUD,2002-07-23,3909,3160,10417,21199,30034
AUD,2002-08-06,1111,0,10820,20040,25198
AUD,2002-08-13,1191,0,10427,17950,23438
AUD,2002-08-20,1064,511,9795,17332,22559
AUD,2002-08-27,1034,1124,9715,18401,23142
AUD,2002-09-03,1034,867,10129,20858,25787
AUD,2002-09-10,995,471,11899,22804,27644
AUD,2002-10-01,2342,0,3843,15316,19336
AUD,2002-10-08,5845,0,3208,21684,24636
AUD,2002-10-15,5242,0,3211,21450,25002
