Month,USD,EUR,GBP,JPY,CHF,AUD,NZD,CAD
2016-01,0.375,0.05,0.5,,-0.75,2,2.5,0.5
2016-02,0.375,0.05,0.5,,-0.75,2,2.5,0.5
2016-03,0.375,0,0.5,,-0.75,2,2.25,0.5
2016-04,0.375,0,0.5,,-0.75,2,2.25,0.5
2016-05,0.375,0,0.5,,-0.75,1.75,2.25,0.5
2016-06,0.375,0,0.5,,-0.75,1.75,2.25,0.5
2016-07,0.375,0,0.5,,-0.75,1.75,2.25,0.5
2016-08,0.375,0,0.25,,-0.75,1.5,2,0.5
2016-09,0.375,0,0.25,-0.1,-0.75,1.5,2,0.5
2016-10,0.375,0,0.25,-0.1,-0.75,1.5,2,0.5
2016-11,0.375,0,0.25,-0.1,-0.75,1.5,1.75,0.5
2016-12,0.625,0,0.25,-0.1,-0.75,1.5,1.75,0.5
2017-01,0.625,0,0.25,-0.1,-0.75,1.5,1.75,0.5
2017-02,0.625,0,0.25,-0.1,-0.75,1.5,1.75,0.5
2017-03,0.875,0,0.25,-0.1,-0.75,1.5,1.75,0.5
2017-04,0.875,0,0.25,-0.1,-0.75,1.5,1.75,0.5
2017-05,0.875,0,0.25,-0.1,-0.75,1.5,1.75,0.5
2017-06,1.125,0,0.25,-0.1,-0.75,1.5,1.75,0.5
2017-07,1.125,0,0.25,-0.1,-0.75,1.5,1.75,0.75
2017-08,1.125,0,0.25,-0.1,-0.75,1.5,1.75,0.75
2017-09,1.125,0,0.25,-0.1,-0.75,1.5,1.75,1
2017-10,1.125,0,0.25,-0.1,-0.75,1.5,1.75,1
2017-11,1.125,0,0.5,-0.1,-0.75,1.5,1.75,1
2017-12,1.375,0,0.5,-0.1,-0.75,1.5,1.75,1
2018-01,1.375,0,0.5,-0.1,-0.75,1.5,1.75,1.25
2018-02,1.375,0,0.5,-0.1,-0.75,1.5,1.75,1.25
2018-03,1.625,0,0.5,-0.1,-0.75,1.5,1.75,1.25
2018-04,1.625,0,0.5,-0.1,-0.75,1.5,1.75,1.25
2018-05,1.625,0,0.5,-0.1,-0.75,1.5,1.75,1.25
2018-06,1.875,0,0.5,-0.1,-0.75,1.5,1.75,1.25
2018-07,1.875,0,0.5,-0.1,-0.75,1.5,1.75,1.5
2018-08,1.875,0,0.75,-0.1,-0.75,1.5,1.75,1.5
2018-09,2.125,0,0.75,-0.1,-0.75,1.5,1.75,1.5
2018-10,2.125,0,0.75,-0.1,-0.75,1.5,1.75,1.75
2018-11,2.125,0,0.75,-0.1,-0.75,1.5,1.75,1.75
2018-12,2.375,0,0.75,-0.1,-0.75,1.5,1.75,1.75
2019-01,2.375,0,0.75,-0.1,-0.75,1.5,1.75,1.75
2019-02,2.375,0,0.75,-0.1,-0.75,1.5,1.75,1.75
2019-03,2.375,0,0.75,-0.1,-0.75,1.5,1.75,1.75
2019-04,2.375,0,0.75,-0.1,-0.75,1.5,1.75,1.75
2019-05,2.375,0,0.75,-0.1,-0.75,1.5,1.5,1.75
2019-06,2.375,0,0.75,-0.1,-0.75,1.25,1.5,1.75
2019-07,2.375,0,0.75,-0.1,-0.75,1,1.5,1.75
2019-08,2.125,0,0.75,-0.1,-0.75,1,1,1.75
2019-09,1.875,0,0.75,-0.1,-0.75,1,1,1.75
2019-10,1.625,0,0.75,-0.1,-0.75,0.75,1,1.75
2019-11,1.625,0,0.75,-0.1,-0.75,0.75,1,1.75
2019-12,1.625,0,0.75,-0.1,-0.75,0.75,1,1.75
2020-01,1.625,0,0.75,-0.1,-0.75,0.75,1,1.75
2020-02,1.625,0,0.75,-0.1,-0.75,0.75,1,1.75
2020-03,0.125,0,0.1,-0.1,-0.75,0.25,0.25,0.25
2020-04,0.125,0,0.1,-0.1,-0.75,0.25,0.25,0.25
2020-05,0.125,0,0.1,-0.1,-0.75,0.25,0.25,0.25
2020-06,0.125,0,0.1,-0.1,-0.75,0.25,0.25,0.25
2020-07,0.125,0,0.1,-0.1,-0.75,0.25,0.25,0.25
2020-08,0.125,0,0.1,-0.1,-0.75,0.25,0.25,0.25
2020-09,0.125,0,0.1,-0.1,-0.75,0.25,0.25,0.25
2020-10,0.125,0,0.1,-0.1,-0.75,0.25,0.25,0.25
2020-11,0.125,0,0.1,-0.1,-0.75,0.1,0.25,0.25
2020-12,0.125,0,0.1,-0.1,-0.75,0.1,0.25,0.25
2021-01,0.125,0,0.1,-0.1,-0.75,0.1,0.25,0.25
2021-02,0.125,0,0.1,-0.1,-0.75,0.1,0.25,0.25
2021-03,0.125,0,0.1,-0.1,-0.75,0.1,0.25,0.25
2021-04,0.125,0,0.1,-0.1,-0.75,0.1,0.25,0.25
2021-05,0.125,0,0.1,-0.1,-0.75,0.1,0.25,0.25
2021-06,0.125,0,0.1,-0.1,-0.75,0.1,0.25,0.25
2021-07,0.125,0,0.1,-0.1,-0.75,0.1,0.25,0.25
2021-08,0.125,0,0.1,-0.1,-0.75,0.1,0.25,0.25
2021-09,0.125,0,0.1,-0.1,-0.75,0.1,0.25,0.25
2021-10,0.125,0,0.1,-0.1,-0.75,0.1,0.5,0.25
2021-11,0.125,0,0.1,-0.1,-0.75,0.1,0.75,0.25
2021-12,0.125,0,0.25,-0.1,-0.75,0.1,0.75,0.25
2022-01,0.125,0,0.25,-0.1,-0.75,0.1,0.75,0.25
2022-02,0.125,0,0.5,-0.1,-0.75,0.1,1,0.25
2022-03,0.375,0,0.75,-0.1,-0.75,0.1,1,0.5
2022-04,0.375,0,0.75,-0.1,-0.75,0.1,1.5,1
2022-05,0.875,0,1,-0.1,-0.75,0.35,2,1
2022-06,1.625,0,1.25,-0.1,-0.25,0.85,2,1.5
2022-07,2.375,0.5,1.25,-0.1,-0.25,1.35,2.5,2.5
2022-08,2.375,0.5,1.75,-0.1,-0.25,1.85,3,2.5
2022-09,3.125,1.25,2.25,-0.1,0.5,2.35,3,3.25
2022-10,3.125,1.25,2.25,-0.1,0.5,2.6,3.5,3.75
2022-11,3.875,2,3,-0.1,0.5,2.85,4.25,3.75
2022-12,4.375,2.5,3.5,-0.1,1,3.1,4.25,4.25
2023-01,4.375,2.5,3.5,-0.1,1,3.1,4.25,4.5
2023-02,4.625,3,4,-0.1,1,3.35,4.75,4.5
2023-03,4.875,3.5,4.25,-0.1,1.5,3.6,4.75,4.5
2023-04,4.875,3.5,4.25,-0.1,1.5,3.6,5.25,4.5
2023-05,5.125,3.75,4.5,-0.1,1.5,3.85,5.5,4.5
2023-06,5.125,4,5,-0.1,1.75,4.1,5.5,4.75
2023-07,5.375,4,5,-0.1,1.75,4.1,5.5,5
2023-08,5.375,4.25,5.25,-0.1,1.75,4.1,5.5,5
2023-09,5.375,4.5,5.25,-0.1,1.75,4.1,5.5,5
2023-10,5.375,4.5,5.25,-0.1,1.75,4.1,5.5,5
2023-11,5.375,4.5,5.25,-0.1,1.75,4.35,5.5,5
2023-12,5.375,4.5,5.25,-0.1,1.75,4.35,5.5,5
2024-01,5.375,4.5,5.25,-0.1,1.75,4.35,5.5,5
2024-02,5.375,4.5,5.25,-0.1,1.75,4.35,5.5,5
2024-03,5.375,4.5,5.25,0.05,1.5,4.35,5.5,5
2024-04,5.375,4.5,5.25,0.05,1.5,4.35,5.5,5
2024-05,5.375,4.5,5.25,0.05,1.5,4.35,5.5,5
2024-06,5.375,4.25,5.25,0.05,1.25,4.35,5.5,4.75
2024-07,5.375,4.25,5.25,0.05,1.25,4.35,5.5,4.5
2024-08,5.375,4.25,5,0.25,1.25,4.35,5.25,4.5
2024-09,4.875,3.5,5,0.25,1,4.35,5.25,4.25
2024-10,4.875,3.25,5,0.25,1,4.35,4.75,3.75
2024-11,4.625,3.25,4.75,0.25,1,4.35,4.25,3.75
2024-12,4.375,3,4.75,0.25,0.5,4.35,4.25,3.25
2025-01,4.375,3,4.75,0.5,0.5,4.35,4.25,3
2025-02,4.375,2.75,4.5,0.5,0.5,4.1,3.75,3
2025-03,4.375,2.5,4.5,0.5,0.25,4.1,3.75,2.75
2025-04,4.375,2.25,4.5,0.5,0.25,4.1,3.5,2.75
2025-05,4.375,2.25,4.25,0.5,0.25,3.85,3.25,2.75
2025-06,4.375,2,4.25,0.5,0,3.85,3.25,2.75
2025-07,4.375,2,4.25,0.5,0,3.85,3.25,2.75
2025-08,4.375,2,4,0.5,0,3.6,3,2.75
2025-09,4.125,2,4,0.5,0,3.6,3,2.5
2025-10,3.875,2,4,0.5,0,3.6,2.5,2.25
2025-11,3.875,2,4,0.5,0,3.6,2.25,2.25
2025-12,3.625,2,3.75,0.75,0,3.6,2.25,2.25
2026-01,3.625,2,3.75,0.75,0,3.6,2.25,2.25
